key,benchmark,batch_size,group_index,sample_ids,prompt_length_min,prompt_length_max,padded_context_length,padding_fraction,active_experts_median,active_experts_p95,active_experts_max,gpu_ttft_ms_median,gpu_itl_ms_median,gpu_e2e_ms_median,gpu_batch_throughput_tokens_s_median,gpu_batch_energy_joules_median,A_original_cycles,B_arlo_cycles,C_fixed_cycles,D_affine_cycles,E_overlap_cycles,D_speedup_vs_A,D_speedup_vs_B,D_speedup_vs_C,C_bank_stall_cycles,D_bank_stall_cycles,D_tpot_ms_proxy,D_aggregate_throughput_tokens_s_proxy
gpqa_diamond_b1_g12,gpqa_diamond,1,12,gpqa_diamond:rec47oNPXudlTIk4y,262,262,262,0.0,6.0,6.0,6,79.9222555,4.444418000000001,218.22265,146.63525157083293,60.232115190207494,129471126,99230358,70456438,64173942,64173942,2.017503085598201,1.546271818552147,1.0978979287262733,188416,0,2.0054356875,498.6447614516185
gpqa_diamond_b1_g13,gpqa_diamond,1,13,gpqa_diamond:rec1zl5LvaatzGhFt,358,358,358,0.0,6.0,6.0,6,80.12949950000001,4.4560875,219.277193,145.92986239197205,60.445273206454495,129486834,99246066,70472146,64189650,64189650,2.0172540900285325,1.5461381390925173,1.0978739718942228,188416,0,2.0059265625,498.5227369209834
gpqa_diamond_b1_g14,gpqa_diamond,1,14,gpqa_diamond:rec4L69T0Y1AS4AFS,362,362,362,0.0,6.0,6.0,6,80.049533,4.4490099999999995,218.663531,146.33787034168782,61.882725693760754,129487530,99246762,70472842,64190346,64190346,2.017243060194753,1.5461322174521384,1.097872910671022,188416,0,2.0059483125,498.5173315625998
gpqa_diamond_b1_g15,gpqa_diamond,1,15,gpqa_diamond:rec2ZTsqazBZ3LTWZ,456,456,456,0.0,6.0,6.0,6,80.2390075,4.437374,218.489684,146.45556650112616,61.445308798802,129503124,99262356,70488436,64205940,64205940,2.01699599756658,1.5459995757401885,1.0978491398147898,188416,0,2.006435625,498.3962543029508
gpqa_diamond_b2_g0,gpqa_diamond,2,0,gpqa_diamond:rec4JrWy7Il8ho5vk|gpqa_diamond:rec06pnAkLOr2t2mp,137,139,139,0.007194244604316547,11.0,12.0,12,79.1885725,5.0585835,236.197223,270.87473772230794,69.03662727164775,211690678,151209142,93661302,81096310,81096310,2.6103614085523743,1.8645625429813022,1.1549391334821524,376832,0,2.5342596875,789.1851059561156
gpqa_diamond_b2_g1,gpqa_diamond,2,1,gpqa_diamond:rec0Arme2jcXQZnAW|gpqa_diamond:rec0yTRmO1o1xCA6H,139,146,146,0.023972602739726026,11.0,12.0,12,78.858823,5.0772,236.296885,270.7545471602624,68.67403182477673,212394567,151913031,94365191,81800199,81800199,2.5965042823428828,1.8571230003975907,1.1536058854820146,376832,0,2.55625621875,782.3941846400643
gpqa_diamond_b2_g2,gpqa_diamond,2,2,gpqa_diamond:rec0VuKUjt1SZ7NYv|gpqa_diamond:rec0wZvZgiz320KRs,147,156,156,0.028846153846153848,11.0,12.0,12,78.3556545,5.054992,234.9665345,272.2917398951562,68.405823425119,211034250,150552714,93004874,80439882,80439882,2.6235027296534326,1.8716177878033187,1.1562035110891884,376832,0,2.5137463125,795.6252347560629
gpqa_diamond_b2_g3,gpqa_diamond,2,3,gpqa_diamond:rec4UqStf9WUVif1f|gpqa_diamond:rec2UlKqC6RFHdcro,159,177,177,0.05084745762711865,10.0,12.0,12,80.0388945,5.0634630000000005,237.98645,268.837077873824,69.26912744962101,210479910,149998374,92450534,79885542,79885542,2.634768504168126,1.8776660988292475,1.1572874350655342,376832,0,2.4964231875,801.1462199255029
gpqa_diamond_b2_g4,gpqa_diamond,2,4,gpqa_diamond:rec1oj2DveQWl9Rpw|gpqa_diamond:rec260hNUCEj109Dj,185,190,190,0.013157894736842105,11.0,12.0,12,78.92938000000001,5.071696,236.12619999999998,270.95318932904144,69.44436646243075,211725486,151243950,93696110,81131118,81131118,2.6096705089161967,1.8641916163413401,1.1548726593413885,376832,0,2.5353474375,788.8465187919634
gpqa_diamond_b2_g5,gpqa_diamond,2,5,gpqa_diamond:rec32C1ZEapBnCC0E|gpqa_diamond:rec2fsnzUuvNtUYK8,229,239,239,0.02092050209205021,11.0,12.0,12,79.2479095,5.0923359999999995,237.67231099999998,269.13197220766295,69.78198670776248,213058482,152576946,95029106,82464114,82464114,2.5836508957096176,1.8502223403503735,1.152369211169843,376832,0,2.5770035625,776.0951630426782
gpqa_diamond_b2_g6,gpqa_diamond,2,6,gpqa_diamond:rec47oNPXudlTIk4y|gpqa_diamond:rec1zl5LvaatzGhFt,262,358,358,0.1340782122905028,11.0,12.0,12,81.35129950000001,5.1005199999999995,239.9192615,266.6672730072705,70.2847004404285,211734156,151252620,93704780,81139788,81139788,2.6094985113838356,1.864099275191599,1.1548561107899369,376832,0,2.535618375,788.7622284642893
gpqa_diamond_b2_g7,gpqa_diamond,2,7,gpqa_diamond:rec4L69T0Y1AS4AFS|gpqa_diamond:rec2ZTsqazBZ3LTWZ,362,456,456,0.10307017543859649,11.0,12.0,12,79.3239735,5.075207499999999,237.01894349999998,269.9055918828668,71.42673038092775,212791889,152310353,94762513,82197521,82197521,2.5887871849565878,1.8529798848799832,1.1528633935322696,376832,0,2.56867253125,778.6122892927634
gpqa_diamond_b4_g0,gpqa_diamond,4,0,gpqa_diamond:rec4JrWy7Il8ho5vk|gpqa_diamond:rec06pnAkLOr2t2mp|gpqa_diamond:rec0Arme2jcXQZnAW|gpqa_diamond:rec0yTRmO1o1xCA6H,137,146,146,0.039383561643835614,20.0,23.0,24,80.7120035,5.599717,253.83932249999998,503.95090733219024,78.696287688161,373225270,252262198,137166518,112036534,112036534,3.3312818299073763,2.251606587544024,1.2243016907324178,753664,0,3.5011416875,1142.4844685038186
gpqa_diamond_b4_g1,gpqa_diamond,4,1,gpqa_diamond:rec0VuKUjt1SZ7NYv|gpqa_diamond:rec0wZvZgiz320KRs|gpqa_diamond:rec4UqStf9WUVif1f|gpqa_diamond:rec2UlKqC6RFHdcro,147,177,177,0.09745762711864407,19.0,22.0,24,78.5040575,5.526982,248.979805,513.5203540626153,77.2706924312935,370349522,249386450,134290770,109160786,109160786,3.3926974655532436,2.284579097845631,1.2302107278707208,753664,0,3.4112745625,1172.582249453572
gpqa_diamond_b4_g2,gpqa_diamond,4,2,gpqa_diamond:rec1oj2DveQWl9Rpw|gpqa_diamond:rec260hNUCEj109Dj|gpqa_diamond:rec32C1ZEapBnCC0E|gpqa_diamond:rec2fsnzUuvNtUYK8,185,239,239,0.11820083682008369,19.0,23.0,24,79.8976375,5.5751085,252.5476635,506.4278187032546,77.78315716069301,373722004,252758932,137663252,112533268,112533268,3.3209913001015843,2.2460818608769095,1.223311598842042,753664,0,3.516664625,1137.4414186567478
gpqa_diamond_b4_g3,gpqa_diamond,4,3,gpqa_diamond:rec47oNPXudlTIk4y|gpqa_diamond:rec1zl5LvaatzGhFt|gpqa_diamond:rec4L69T0Y1AS4AFS|gpqa_diamond:rec2ZTsqazBZ3LTWZ,262,456,456,0.21162280701754385,20.0,23.0,24,80.580739,5.578427,252.5488425,506.58946168941316,81.93923463592301,374966158,254003086,138907406,113777422,113777422,3.2956113032689385,2.2324559788320744,1.2208696906491694,753664,0,3.5555444375,1125.0035178332657
gpqa_diamond_b8_g0,gpqa_diamond,8,0,gpqa_diamond:rec4JrWy7Il8ho5vk|gpqa_diamond:rec06pnAkLOr2t2mp|gpqa_diamond:rec0Arme2jcXQZnAW|gpqa_diamond:rec0yTRmO1o1xCA6H|gpqa_diamond:rec0VuKUjt1SZ7NYv|gpqa_diamond:rec0wZvZgiz320KRs|gpqa_diamond:rec4UqStf9WUVif1f|gpqa_diamond:rec2UlKqC6RFHdcro,137,177,177,0.15254237288135594,32.0,40.0,45,82.751027,5.734896,257.607684,992.8509861837157,89.24629826633749,684482141,442555997,212364637,162104669,162104669,4.222470242359274,2.7300632346376155,1.310046393543421,1507328,0,5.06577090625,1579.2265674963378
gpqa_diamond_b8_g1,gpqa_diamond,8,1,gpqa_diamond:rec1oj2DveQWl9Rpw|gpqa_diamond:rec260hNUCEj109Dj|gpqa_diamond:rec32C1ZEapBnCC0E|gpqa_diamond:rec2fsnzUuvNtUYK8|gpqa_diamond:rec47oNPXudlTIk4y|gpqa_diamond:rec1zl5LvaatzGhFt|gpqa_diamond:rec4L69T0Y1AS4AFS|gpqa_diamond:rec2ZTsqazBZ3LTWZ,185,456,456,0.37472587719298245,33.0,40.25,44,82.4318505,5.7540130000000005,258.1182835,990.6454703885139,93.06924226781027,688469845,446543701,216352341,166092373,166092373,4.145102105320634,2.68852622751076,1.3026025042101121,1507328,0,5.19038665625,1541.3109908424271
gpqa_diamond_b16_g0,gpqa_diamond,16,0,gpqa_diamond:rec4JrWy7Il8ho5vk|gpqa_diamond:rec06pnAkLOr2t2mp|gpqa_diamond:rec0Arme2jcXQZnAW|gpqa_diamond:rec0yTRmO1o1xCA6H|gpqa_diamond:rec0VuKUjt1SZ7NYv|gpqa_diamond:rec0wZvZgiz320KRs|gpqa_diamond:rec4UqStf9WUVif1f|gpqa_diamond:rec2UlKqC6RFHdcro|gpqa_diamond:rec1oj2DveQWl9Rpw|gpqa_diamond:rec260hNUCEj109Dj|gpqa_diamond:rec32C1ZEapBnCC0E|gpqa_diamond:rec2fsnzUuvNtUYK8|gpqa_diamond:rec47oNPXudlTIk4y|gpqa_diamond:rec1zl5LvaatzGhFt|gpqa_diamond:rec4L69T0Y1AS4AFS|gpqa_diamond:rec2ZTsqazBZ3LTWZ,137,456,456,0.5228892543859649,51.0,64.0,73,83.300693,6.7371825,285.99881,1787.3985935297842,120.30925489279176,1295258741,811406453,351023733,250503797,250503797,5.170615202291724,3.239098419733734,1.401271107279863,3014656,0,7.82824365625,2043.881195142124
swebench_verified_b1_g0,swebench_verified,1,0,swebench_verified:astropy__astropy-14096,387,387,387,0.0,6.0,6.0,6,79.6511785,4.4379705000000005,217.9229775,146.836199677278,62.046137559346,129491778,99251010,70477090,64194594,64194594,2.0171757453594923,1.5460960778099164,1.0978664340489481,188416,0,2.0060810625,498.4843427781473
swebench_verified_b1_g1,swebench_verified,1,1,swebench_verified:astropy__astropy-12907,478,478,478,0.0,6.0,6.0,6,79.56178700000001,4.444427,217.86144000000002,146.87800078168226,60.99944692163625,129506622,99265854,70491934,64209438,64209438,2.016940593686554,1.545969830790296,1.0978438091920382,188416,0,2.0065449375,498.36910268549616
swebench_verified_b1_g2,swebench_verified,1,2,swebench_verified:astropy__astropy-14539,609,609,609,0.0,6.0,6.0,6,81.196067,4.4511065,219.8623005,145.54123175751445,62.487804609052,129528216,99287448,70513528,64231032,64231032,2.016598705747091,1.5457862797533752,1.0978109148238502,188416,0,2.00721975,498.2015546628614
swebench_verified_b1_g3,swebench_verified,1,3,swebench_verified:astropy__astropy-14365,618,618,618,0.0,6.0,6.0,6,79.5279525,4.440371,217.1895235,147.332151143286,61.06897046018949,129529782,99289014,70515094,64232598,64232598,2.0165739209240767,1.545772973405186,1.097808530179645,188416,0,2.0072686875,498.18940843713034
swebench_verified_b1_g4,swebench_verified,1,4,swebench_verified:astropy__astropy-13236,633,633,633,0.0,6.0,6.0,6,80.460781,4.4575625,219.53101750000002,145.76067302257098,62.04281573210525,129532326,99291558,70517638,64235142,64235142,2.016533660033008,1.5457513583452498,1.0978046565227488,188416,0,2.0073481875,498.16967789998813
swebench_verified_b1_g5,swebench_verified,1,5,swebench_verified:astropy__astropy-14182,708,708,708,0.0,6.0,6.0,6,81.9559265,4.4455975,220.406733,145.181656942553,61.80518183210475,129544746,99303978,70530058,64247562,64247562,2.016337149104584,1.5456458565696236,1.0977857494421346,188416,0,2.0077363125,498.0733743639953
swebench_verified_b1_g6,swebench_verified,1,6,swebench_verified:astropy__astropy-13033,920,920,920,0.0,6.0,6.0,6,80.465248,4.4493605,219.1959465,145.98310323795442,63.00746376675251,129579618,99338850,70564930,64282434,64282434,2.015785805497035,1.5453498540518862,1.09773270252959,188416,0,2.0088260625,497.80317901465895
swebench_verified_b1_g7,swebench_verified,1,7,swebench_verified:astropy__astropy-14995,939,939,939,0.0,6.0,6.0,6,79.944486,4.442087,218.37252949999998,146.53518428206274,62.97586752335775,129582762,99341994,70568074,64285578,64285578,2.015736126693922,1.5453231827518141,1.0977279227387517,188416,0,2.0089243125,497.7788330689039
swebench_verified_b1_g8,swebench_verified,1,8,swebench_verified:astropy__astropy-14369,982,982,982,0.0,6.0,6.0,6,79.6764955,4.435618,217.75039800000002,146.9531088808831,63.67022474833101,129589872,99349104,70575184,64292688,64292688,2.015623798463676,1.5452628765498186,1.0977171152028984,188416,0,2.0091465,497.72378470161334
swebench_verified_b1_g9,swebench_verified,1,9,swebench_verified:astropy__astropy-14508,1050,1050,1050,0.0,6.0,6.0,6,80.1430785,4.433305,218.16017599999998,146.67710955475263,63.94403888668876,129601056,99360288,70586368,64303872,64303872,2.0154471568990435,1.5451680421359386,1.0977001198310423,188416,0,2.009496,497.6372184866255
swebench_verified_b1_g10,swebench_verified,1,10,swebench_verified:astropy__astropy-14598,1125,1125,1125,0.0,6.0,6.0,6,81.74944049999999,4.4405095,221.07250850000003,144.7449310956138,64.7726626658185,129613404,99372636,70598716,64316220,64316220,2.0152522023215917,1.5450633759260106,1.0976813624930073,188416,0,2.009881875,497.5416776670022
swebench_verified_b1_g11,swebench_verified,1,11,swebench_verified:astropy__astropy-13977,1168,1168,1168,0.0,6.0,6.0,6,80.15221500000001,4.4334255,218.5793385,146.39560242792382,63.46049242058375,129620580,99379812,70605892,64323396,64323396,2.0151389394925605,1.5450025679614303,1.0976704650357703,188416,0,2.010106125,497.48617128361815
swebench_verified_b1_g12,swebench_verified,1,12,swebench_verified:astropy__astropy-13398,1531,1531,1531,0.0,6.0,6.0,6,80.38535350000001,4.4348605,218.572314,146.40075949210623,64.74222828612,129680538,99439770,70665850,64383354,64383354,2.0141935755630254,1.5444950258416175,1.097579507895783,188416,0,2.0119798125,497.022879547406
swebench_verified_b1_g13,swebench_verified,1,13,swebench_verified:astropy__astropy-14309,1621,1621,1621,0.0,6.0,6.0,6,80.64196849999999,4.428107499999999,218.930575,146.16068582341916,64.938658925518,129695328,99454560,70680640,64398144,64398144,2.0139606507914265,1.544369974389324,1.097557097297711,188416,0,2.012442,496.90873078578164
swebench_verified_b1_g14,swebench_verified,1,14,swebench_verified:astropy__astropy-13579,1812,1812,1812,0.0,6.0,6.0,6,80.6086235,4.4282935000000005,219.207084,145.9760912883866,66.0158981503625,129726852,99486084,70712164,64429668,64429668,2.01346454245271,1.5441036262983692,1.0975093647851795,188416,0,2.013427125,496.6656044231052
swebench_verified_b1_g15,swebench_verified,1,15,swebench_verified:astropy__astropy-13453,2855,2855,2855,0.0,6.0,6.0,6,80.609825,4.426933,218.91989999999998,146.16659669538518,69.34604781274075,129898926,99658158,70884238,64601742,64601742,2.010765065746989,1.542654345141343,1.0972496376336105,188416,0,2.0188044375,495.3426797686044
