key,benchmark,batch_size,group_index,sample_ids,prompt_length_min,prompt_length_max,padded_context_length,padding_fraction,active_experts_median,active_experts_p95,active_experts_max,gpu_ttft_ms_median,gpu_itl_ms_median,gpu_e2e_ms_median,gpu_batch_throughput_tokens_s_median,gpu_batch_energy_joules_median,A_original_cycles,B_arlo_cycles,C_fixed_cycles,D_affine_cycles,E_overlap_cycles,D_speedup_vs_A,D_speedup_vs_B,D_speedup_vs_C,C_bank_stall_cycles,D_bank_stall_cycles,D_tpot_ms_proxy,D_aggregate_throughput_tokens_s_proxy
bfcl_v3_b1_g0,bfcl_v3,1,0,bfcl_v3:multi_turn_base_10,3786,3786,3786,0.0,6.0,6.0,6,80.534289,4.4521584999999995,219.252883,145.94586563966746,73.215422147634,130052658,99811890,71037970,64755474,64755474,2.0083654703847893,1.541366062736256,1.097018763232279,188416,0,2.0236085625,494.16671708711453
bfcl_v3_b1_g1,bfcl_v3,1,1,bfcl_v3:multi_turn_base_9,3790,3790,3790,0.0,6.0,6.0,6,83.18088800000001,4.4902435,223.008483,143.4877362503342,73.221614359231,130053300,99812532,71038612,64756116,64756116,2.008355473327029,1.54136069556735,1.0970178013764753,188416,0,2.023628625,494.1618178582545
bfcl_v3_b1_g2,bfcl_v3,1,2,bfcl_v3:multi_turn_base_1,3798,3798,3798,0.0,6.0,6.0,6,83.859932,4.5005155,224.40205650000001,142.5981089074035,74.07428879309148,130054596,99813828,71039908,64757412,64757412,2.0083352929545732,1.5413498612328733,1.097015859744364,188416,0,2.023669125,494.151928122143
bfcl_v3_b1_g3,bfcl_v3,1,3,bfcl_v3:multi_turn_base_12,3798,3798,3798,0.0,6.0,6.0,6,83.676182,4.4980585,224.0986355,142.78998514600556,74.61349160993498,130054596,99813828,71039908,64757412,64757412,2.0083352929545732,1.5413498612328733,1.097015859744364,188416,0,2.023669125,494.151928122143
bfcl_v3_b1_g4,bfcl_v3,1,4,bfcl_v3:multi_turn_base_3,3804,3804,3804,0.0,6.0,6.0,6,82.3964965,4.4757774999999995,222.312935,143.93679569281502,74.919947881486,130055532,99814764,71040844,64758348,64758348,2.008320718743474,1.5413420367054453,1.097014457502838,188416,0,2.023698375,494.14478578113204
bfcl_v3_b1_g5,bfcl_v3,1,5,bfcl_v3:multi_turn_base_6,3811,3811,3811,0.0,6.0,6.0,6,80.26906249999999,4.4565245,219.62892,145.69619618199187,75.320969724344,130056660,99815892,71041972,64759476,64759476,2.0083031555104,1.5413326074472868,1.0970127676758843,188416,0,2.023733625,494.1361786188634
bfcl_v3_b1_g6,bfcl_v3,1,6,bfcl_v3:multi_turn_base_14,5400,5400,5400,0.0,6.0,6.0,6,80.78106249999999,4.4539245,219.3791215,145.86181075438577,79.25011058684774,130318956,100078188,71304268,65021772,65021772,2.0042356889320088,1.5391488869297503,1.0966214208988336,188416,0,2.031930375,492.1428471681762
bfcl_v3_b1_g7,bfcl_v3,1,7,bfcl_v3:multi_turn_base_2,5597,5597,5597,0.0,6.0,6.0,6,81.9220435,4.48205,221.069221,144.7469176935138,81.36141498446749,130351422,100110654,71336734,65054238,65054238,2.003734514575361,1.538879819021168,1.0965732009650162,188416,0,2.0329449375,491.89723811690794
bfcl_v3_b1_g8,bfcl_v3,1,8,bfcl_v3:multi_turn_base_15,6535,6535,6535,0.0,6.0,6.0,6,82.52086800000001,4.4738085000000005,222.3146695,143.936268146928,84.78614945673276,130506354,100265586,71491666,65209170,65209170,2.0013497181454696,1.5375994817906746,1.096343750426512,188416,0,2.0377865625,490.72852790489435
bfcl_v3_b1_g9,bfcl_v3,1,9,bfcl_v3:multi_turn_base_11,6643,6643,6643,0.0,6.0,6.0,6,81.770802,4.467918,221.516973,144.45451044768686,85.61633081644575,130524126,100283358,71509438,65226942,65226942,2.001076886296463,1.5374530052321018,1.096317500213332,188416,0,2.0383419375,490.5948219985539
bfcl_v3_b1_g10,bfcl_v3,1,10,bfcl_v3:multi_turn_base_4,6644,6644,6644,0.0,6.0,6.0,6,82.3349515,4.4677465,221.6147805,144.39048344370974,83.95286377688674,130524294,100283526,71509606,65227110,65227110,2.0010743079066358,1.5374516209594447,1.09631725213642,188416,0,2.0383471875,490.5935584145917
bfcl_v3_b1_g11,bfcl_v3,1,11,bfcl_v3:multi_turn_base_0,6646,6646,6646,0.0,6.0,6.0,6,81.2349165,4.477133500000001,221.15029099999998,144.69352623233158,84.96306155887675,130524630,100283862,71509942,65227446,65227446,2.0010691511668264,1.5374488524355223,1.0963167559864293,188416,0,2.0383576875,490.5910312661943
bfcl_v3_b1_g12,bfcl_v3,1,12,bfcl_v3:multi_turn_base_5,6653,6653,6653,0.0,6.0,6.0,6,80.826829,4.465294500000001,220.37974450000002,145.19952607007718,85.27889810627926,130525848,100285080,71511160,65228664,65228664,2.0010504584303614,1.537438816775398,1.096314957485562,188416,0,2.03839575,490.5818705715021
bfcl_v3_b1_g13,bfcl_v3,1,13,bfcl_v3:multi_turn_base_13,6662,6662,6662,0.0,6.0,6.0,6,82.057456,4.464821000000001,222.0623305,144.09954927818933,87.20019122181725,130527324,100286556,71512636,65230140,65230140,2.001027807084271,1.5374266558373169,1.096312778111468,188416,0,2.038441875,490.5707698925681
bfcl_v3_b1_g14,bfcl_v3,1,14,bfcl_v3:multi_turn_base_7,6664,6664,6664,0.0,6.0,6.0,6,81.706794,4.4625325,221.142705,144.698246384145,85.34444725316175,130527636,100286868,71512948,65230452,65230452,2.0010230191260976,1.5374240853029808,1.0963123174433929,188416,0,2.038451625,490.5684234719085
bfcl_v3_b1_g15,bfcl_v3,1,15,bfcl_v3:multi_turn_base_8,6679,6679,6679,0.0,6.0,6.0,6,81.374728,4.4638675,220.540124,145.09351993260213,86.12320700829275,130530042,100289274,71515354,65232858,65232858,2.0009860981409093,1.53740426335452,1.0963087651318297,188416,0,2.0385268125,490.5503297126733
bfcl_v3_b2_g0,bfcl_v3,2,0,bfcl_v3:multi_turn_base_10|bfcl_v3:multi_turn_base_9,3786,3790,3790,0.0005277044854881266,11.0,12.0,12,80.71916,5.08282,238.85617200000002,267.82487123523356,96.83260336568324,214284495,153802959,96255119,83690127,83690127,2.5604513062813252,1.8377670642081831,1.1501370884525004,376832,0,2.61531646875,764.7258080992038
bfcl_v3_b2_g1,bfcl_v3,2,1,bfcl_v3:multi_turn_base_1|bfcl_v3:multi_turn_base_12,3798,3798,3798,0.0,11.0,12.0,12,80.9182705,5.092522,239.689899,266.9043288745146,98.32354206209351,214409477,153927941,96380101,83815109,83815109,2.558124418832409,1.8365178168532836,1.1499132095622522,376832,0,2.61922215625,763.5854771721409
bfcl_v3_b2_g2,bfcl_v3,2,2,bfcl_v3:multi_turn_base_3|bfcl_v3:multi_turn_base_6,3804,3811,3811,0.0009183941222776174,11.0,12.0,12,81.467814,5.093245,239.9131875,266.66726649385066,97.052091253268,214277009,153795473,96247633,83682641,83682641,2.5605908996108284,1.837842008356309,1.1501505192695818,376832,0,2.61508253125,764.7942181939502
bfcl_v3_b2_g3,bfcl_v3,2,3,bfcl_v3:multi_turn_base_14|bfcl_v3:multi_turn_base_2,5400,5597,5597,0.01759871359656959,11.0,12.0,12,81.31573900000001,5.1005199999999995,240.0933665,266.43691438768457,113.953254022262,215596887,155115351,97567511,85002519,85002519,2.536358798966887,1.8248324029079657,1.1478190546329574,376832,0,2.65632871875,752.9188634986217
bfcl_v3_b2_g4,bfcl_v3,2,4,bfcl_v3:multi_turn_base_15|bfcl_v3:multi_turn_base_11,6535,6643,6643,0.008128857443925937,11.0,12.0,12,92.78571500000001,5.1076785000000005,251.6756585,254.18530262405926,125.47018567797099,215165018,154683482,97135642,84570650,84570650,2.544204378232874,1.8290444971157251,1.1485739083239872,376832,0,2.6428328125,756.7637235849553
bfcl_v3_b2_g5,bfcl_v3,2,5,bfcl_v3:multi_turn_base_4|bfcl_v3:multi_turn_base_0,6644,6646,6646,0.0001504664459825459,11.0,12.0,12,93.3176045,5.0943235,251.6604465,254.21134487874735,125.74906225190776,215288294,154806758,97258918,84693926,84693926,2.5419567159987366,1.8278377837862894,1.1483576519997432,376832,0,2.6466851875,755.6622183272033
bfcl_v3_b2_g6,bfcl_v3,2,6,bfcl_v3:multi_turn_base_5|bfcl_v3:multi_turn_base_13,6653,6662,6662,0.0006754728309816872,11.0,12.0,12,93.8257155,5.111931500000001,252.9542535,252.97174697080362,122.8587426614545,215340388,154858852,97311012,84746020,84746020,2.541008863897089,1.827328905829442,1.1482664554630413,376832,0,2.648313125,755.1977072197609
bfcl_v3_b2_g7,bfcl_v3,2,7,bfcl_v3:multi_turn_base_7|bfcl_v3:multi_turn_base_8,6664,6679,6679,0.0011229225932025753,11.0,12.0,12,94.291753,5.103714,253.3147295,252.50608779818316,126.90689258938426,215511504,155029968,97482128,84917136,84917136,2.537903586385674,1.8256617604248924,1.1479676846378803,376832,0,2.6536605,753.6759129511858
bfcl_v3_b4_g0,bfcl_v3,4,0,bfcl_v3:multi_turn_base_10|bfcl_v3:multi_turn_base_9|bfcl_v3:multi_turn_base_1|bfcl_v3:multi_turn_base_12,3786,3798,3798,0.0013164823591363876,20.0,23.0,24,103.14336499999999,5.6286305,277.95101950000003,460.17829809518145,141.09134824730828,379777113,258814041,143718361,118588377,118588377,3.202481749117791,2.18245706322467,1.2119093340825466,753664,0,3.70588678125,1079.3637895895986
bfcl_v3_b4_g1,bfcl_v3,4,1,bfcl_v3:multi_turn_base_3|bfcl_v3:multi_turn_base_6|bfcl_v3:multi_turn_base_14|bfcl_v3:multi_turn_base_2,3804,5597,5597,0.16866178309808827,19.0,23.0,24,127.059601,5.6785355,304.24443599999995,420.46809143275084,165.23510842918296,380158764,259195692,144100012,118970028,118970028,3.1954162774509896,2.178663789168815,1.2112295375773132,753664,0,3.717813375,1075.9012345529582
bfcl_v3_b4_g2,bfcl_v3,4,2,bfcl_v3:multi_turn_base_15|bfcl_v3:multi_turn_base_11|bfcl_v3:multi_turn_base_4|bfcl_v3:multi_turn_base_0,6535,6646,6646,0.004363526933493831,19.0,23.0,24,175.54909400000003,5.620863,350.1828465,365.2665076705559,206.10068800365673,379955372,258992300,143896620,118766636,118766636,3.1991760042778346,2.180682291952767,1.2115912755161307,753664,0,3.711457375,1077.743752883596
bfcl_v3_b4_g3,bfcl_v3,4,3,bfcl_v3:multi_turn_base_5|bfcl_v3:multi_turn_base_13|bfcl_v3:multi_turn_base_7|bfcl_v3:multi_turn_base_8,6653,6679,6679,0.0021709836801916457,19.0,23.0,24,176.9095825,5.627629499999999,351.109061,364.3587410825668,210.054182726635,378955378,257992306,142896626,117766642,117766642,3.2178499069371442,2.1907078406803855,1.2133879643099614,753664,0,3.6802075625,1086.8952177476538
bfcl_v3_b8_g0,bfcl_v3,8,0,bfcl_v3:multi_turn_base_10|bfcl_v3:multi_turn_base_9|bfcl_v3:multi_turn_base_1|bfcl_v3:multi_turn_base_12|bfcl_v3:multi_turn_base_3|bfcl_v3:multi_turn_base_6|bfcl_v3:multi_turn_base_14|bfcl_v3:multi_turn_base_2,3786,5597,5597,0.24548865463641237,32.0,39.0,44,220.79873750000002,5.7924195,401.067534,637.7536130039462,257.4159553093615,699009708,457083564,226892204,176632236,176632236,3.957429990299166,2.587769788522634,1.2845458402055216,1507328,0,5.519757375,1449.3390662845936
bfcl_v3_b8_g1,bfcl_v3,8,1,bfcl_v3:multi_turn_base_15|bfcl_v3:multi_turn_base_11|bfcl_v3:multi_turn_base_4|bfcl_v3:multi_turn_base_0|bfcl_v3:multi_turn_base_5|bfcl_v3:multi_turn_base_13|bfcl_v3:multi_turn_base_7|bfcl_v3:multi_turn_base_8,6535,6679,6679,0.005726905225333134,32.0,39.0,46,343.3934175,5.7927365,523.1824995,488.94597124356494,369.0869590355378,699643128,457716984,227525624,177265656,177265656,3.9468622619149647,2.582096240909745,1.2835290779619488,1507328,0,5.53955175,1444.1601705408746
