benchmark,batch_size,group_count,statistical_unit,p95_status,padding_fraction_median,padding_fraction_p95,active_experts_median_median,active_experts_median_p95,active_experts_p95_median,active_experts_p95_p95,gpu_ttft_ms_median_median,gpu_ttft_ms_median_p95,gpu_itl_ms_median_median,gpu_itl_ms_median_p95,gpu_e2e_ms_median_median,gpu_e2e_ms_median_p95,gpu_batch_throughput_tokens_s_median_median,gpu_batch_throughput_tokens_s_median_p95,gpu_batch_energy_joules_median_median,gpu_batch_energy_joules_median_p95,A_original_cycles_median,A_original_cycles_p95,B_arlo_cycles_median,B_arlo_cycles_p95,C_fixed_cycles_median,C_fixed_cycles_p95,D_phased_cycles_median,D_phased_cycles_p95,D_speedup_vs_A_median,D_speedup_vs_A_p95,D_speedup_vs_B_median,D_speedup_vs_B_p95,D_speedup_vs_B_ideal_resource_overlap_median,D_speedup_vs_B_ideal_resource_overlap_p95,D_speedup_vs_C_median,D_speedup_vs_C_p95,D_tpot_ms_proxy_median,D_tpot_ms_proxy_p95,D_tpot_ms_ideal_resource_overlap_lower_bound_median,D_tpot_ms_ideal_resource_overlap_lower_bound_p95,D_aggregate_throughput_tokens_s_proxy_median,D_aggregate_throughput_tokens_s_proxy_p95,D_aggregate_throughput_tokens_s_ideal_resource_overlap_upper_bound_median,D_aggregate_throughput_tokens_s_ideal_resource_overlap_upper_bound_p95,B_ideal_resource_overlap_cycles_median,B_ideal_resource_overlap_cycles_p95,D_ideal_resource_overlap_cycles_median,D_ideal_resource_overlap_cycles_p95,D_vs_D_prime_pure_bank_speedup_median,D_vs_D_prime_pure_bank_speedup_p95,checkpoint_mixed_nvfp4_bf16_D_speedup_vs_B_serial_median,checkpoint_mixed_nvfp4_bf16_D_speedup_vs_B_serial_p95,checkpoint_mixed_nvfp4_bf16_D_speedup_vs_B_ideal_overlap_median,checkpoint_mixed_nvfp4_bf16_D_speedup_vs_B_ideal_overlap_p95,checkpoint_mixed_nvfp4_bf16_D_logical_weight_read_bytes_median,checkpoint_mixed_nvfp4_bf16_D_logical_weight_read_bytes_p95,checkpoint_mixed_nvfp4_bf16_D_physical_hbm_read_bytes_median,checkpoint_mixed_nvfp4_bf16_D_physical_hbm_read_bytes_p95,uniform_mxfp8_D_speedup_vs_B_serial_median,uniform_mxfp8_D_speedup_vs_B_serial_p95,uniform_mxfp8_D_speedup_vs_B_ideal_overlap_median,uniform_mxfp8_D_speedup_vs_B_ideal_overlap_p95,uniform_mxfp8_D_logical_weight_read_bytes_median,uniform_mxfp8_D_logical_weight_read_bytes_p95,uniform_mxfp8_D_physical_hbm_read_bytes_median,uniform_mxfp8_D_physical_hbm_read_bytes_p95,uniform_bf16_D_speedup_vs_B_serial_median,uniform_bf16_D_speedup_vs_B_serial_p95,uniform_bf16_D_speedup_vs_B_ideal_overlap_median,uniform_bf16_D_speedup_vs_B_ideal_overlap_p95,uniform_bf16_D_logical_weight_read_bytes_median,uniform_bf16_D_logical_weight_read_bytes_p95,uniform_bf16_D_physical_hbm_read_bytes_median,uniform_bf16_D_physical_hbm_read_bytes_p95,D_bank_stall_cycles_max
gpqa_diamond,1,16,length-sorted disjoint workload group,exploratory_low_n,0.0,0.0,6.0,6.0,6.0,6.0,83.83848024999999,84.385398375,4.44984275,4.46336375,222.21144775,223.2873535,144.00314477275214,146.50048776855286,61.003777287755,61.68934945472838,129457707.0,129491428.5,99216939.0,99250660.5,69865995.0,69899716.5,64145803.0,64179524.5,2.01817891355045,2.0182901151388863,1.5467409302515525,1.5468006431950223,1.0,1.0,1.0891748443876321,1.0891845837214689,2.00455634375,2.005610140625,1.8692898125,1.870095265625,498.86350325377765,498.91798720864676,534.9625260802045,535.0104215868163,59817274.0,59843048.5,59817274.0,59843048.5,1.0,1.0,1.5467409302515525,1.5468006431950223,1.0,1.0,91481169920.0,91481169920.0,92419080192.0,92459286528.0,1.4855685249795978,1.4856156228316793,1.0,1.0,104090298144.0,104090298144.0,105028304896.0,105068511232.0,1.2542889495994025,1.2543018658106782,1.0,1.0,206566793216.0,206566793216.0,207504703488.0,207544909824.0,0
gpqa_diamond,2,8,length-sorted disjoint workload group,exploratory_low_n,0.026409378292939937,0.12322539939233557,11.0,11.0,12.0,12.0,79.218241,80.89195775,5.07345175,5.0976555999999995,236.65791424999998,239.24277747499997,270.3300695215646,271.82324719701603,69.35674695602589,71.02701990175301,211729821.0,212965174.45,151248285.0,152483638.45,92546397.0,93781750.45,81106013.0,82341366.45,2.6105317416251177,2.631793037738884,1.8648220964872095,1.8762389709293046,1.0438491703884707,1.0591367410564174,1.141054696310646,1.142916817738611,2.53456290625,2.5731677015625003,2.26414428125,2.3026492609375,789.0906951970619,799.5078080658052,883.3359333303907,896.3098144420107,75626889.0,75634035.0,72452617.0,73684776.35,1.0,1.0,1.8648220964872095,1.8762389709293046,1.0438491703884707,1.0591367410564174,109354488320.0,111238058086.4,111244427776.0,113166549913.59999,1.7139417822789302,1.7277706426770356,1.0,1.0,136113105408.0,139487834572.80002,137985367616.0,141416422208.0,1.3809247211108093,1.3887060798051856,1.0,1.0,270115930112.0,276813067059.2,271985262592.0,278741558886.4,0
gpqa_diamond,4,4,length-sorted disjoint workload group,exploratory_low_n,0.10782923196936388,0.1976095114879248,19.5,20.0,23.0,23.0,80.23918825,80.692313825,5.57676775,5.5965235,252.548253,253.64575049999996,506.5086401963339,512.4807202066349,78.239722424427,81.45279259375872,373473637.0,374779534.90000004,252510565.0,253816462.89999998,135106789.0,136412686.9,112226021.0,113531918.9,3.327881655393265,3.385304190236598,2.2500241017043745,2.280858810319748,1.5930819746070068,1.6397047782831393,1.2038821287789636,1.2089113486349727,3.50706315625,3.547872465625,2.9668942187500003,3.006577646875,1140.56103727407,1168.6955885954746,1348.2198905333835,1387.6875727332085,151248144.0,151261071.0,94940615.0,96210484.7,1.0,1.0,2.2500241017043745,2.280858810319748,1.5930819746070068,1.6397047782831393,140790691328.0,142590072934.4,144551376384.0,146532384460.8,1.9652858197714171,1.9985157368283444,1.181212592935002,1.2275710847398342,192435859392.0,195659751436.8,196196640960.0,199602159475.2,1.525857586904554,1.545463479072267,1.0,1.0,381888217088.0,388286018355.2,385648902144.0,392228329881.6,0
gpqa_diamond,8,2,length-sorted disjoint workload group,exploratory_low_n,0.2636341250371692,0.3636167019774011,32.5,32.95,40.125,40.2375,82.59143875,82.73506817499998,5.7444545,5.75305715,257.86298375,258.09275352500003,991.7482282861148,992.7407103939556,91.15777026707389,92.87809506773662,686475993.0,688270459.8000001,444549849.0,446344315.8,209742297.0,211536763.79999998,163980761.0,165775227.8,4.186791470956327,4.2216650223307735,2.7112408341601766,2.72996720696744,2.3385919648057802,2.3702029250279586,1.279107757719521,1.2821620770298825,5.12439878125,5.18047586875,4.043151906249999,4.09800488125,1561.3895909481134,1578.476118451312,1979.1040452536513,2005.95432128431,302500540.0,302515606.0,129380861.0,131136156.2,1.0,1.0,2.7112408341601766,2.72996720696744,2.3385919648057802,2.3702029250279586,187019098112.0,189559896780.8,194735503360.0,197473775104.0,2.2724711731328484,2.290264141762463,1.6273664288193488,1.6539323001035717,275260868736.0,279813133017.60004,282977369856.0,287727107212.8,1.7118352636496086,1.7225901795678433,1.0,1.0,546254127104.0,555288077926.4,553970532352.0,563201956249.6,0
gpqa_diamond,16,1,length-sorted disjoint workload group,exploratory_low_n,0.5228892543859649,0.5228892543859649,51.0,51.0,64.0,64.0,83.300693,83.300693,6.7371825,6.7371825,285.99881,285.99881,1787.3985935297842,1787.3985935297842,120.30925489279176,120.30925489279176,1295258741.0,1295258741.0,811406453.0,811406453.0,341791349.0,341791349.0,250268277.0,250268277.0,5.175481113812919,5.175481113812919,3.242146638505047,3.242146638505047,3.3428473237385874,3.3428473237385874,1.3656998525626163,1.3656998525626163,7.82088365625,7.82088365625,5.65596665625,5.65596665625,2045.8046306843755,2045.8046306843755,2828.8709910125717,2828.8709910125717,605025056.0,605025056.0,180990933.0,180990933.0,1.0,1.0,3.242146638505047,3.242146638505047,3.3428473237385874,3.3428473237385874,252283136000.0,252283136000.0,268154775552.0,268154775552.0,2.6506334203529485,2.6506334203529485,2.2352380445079456,2.2352380445079456,392190497664.0,392190497664.0,408062233856.0,408062233856.0,1.9551959226847602,1.9551959226847602,1.1675932051730349,1.1675932051730349,778300522496.0,778300522496.0,794172162048.0,794172162048.0,0
swebench_verified,1,16,length-sorted disjoint workload group,exploratory_low_n,0.0,0.0,6.0,6.0,6.0,6.0,80.42306725,81.801062,4.439170750000001,4.4527205,218.74961925,220.573176875,146.28109956165451,147.04786944648384,63.23397809366813,66.84843556595706,129586317.0,129769870.5,99345549.0,99529102.5,69994605.0,70178158.5,64274413.0,64457966.5,2.016141589652478,2.01746191105763,1.5456469296310558,1.546355914804169,1.0,1.0,1.088996410087775,1.0891120473832239,2.0085754062500003,2.014311453125,1.8723599375000002,1.8767405000000001,497.8653029144474,498.5122031328955,534.0853443937808,534.653574901842,59915518.0,60055696.0,59915518.0,60055696.0,1.0,1.0,1.5456469296310558,1.546355914804169,1.0,1.0,91481169920.0,91481169920.0,92572336128.0,92791013376.0,1.4847054415878218,1.485264820681936,1.0,1.0,104090298144.0,104090298144.0,105181560832.0,105400238080.0,1.2540520442928842,1.2542056319816515,1.0,1.0,206566793216.0,206566793216.0,207657959424.0,207876636672.0,0
swebench_verified,2,8,length-sorted disjoint workload group,exploratory_low_n,0.030070796980112217,0.1520461973048824,11.0,11.0,12.0,12.0,80.7272145,81.42485169999999,5.0866722499999995,5.106899074999999,238.9031195,239.988140425,267.7972247763671,269.7185971068785,75.1271850399225,83.60455846940653,213238038.0,213589203.4,152756502.0,153107667.4,94054614.0,94405779.4,82614230.0,82965395.4,2.581130422532371,2.59871718450497,1.8490341987636778,1.8584779246875256,1.023932736870869,1.0361241097479328,1.1384796498035992,1.1400199456605624,2.5816946874999998,2.59266860625,2.309157265625,2.3188185906250003,774.6853241491148,783.3020746747645,866.1181837953023,876.6064851712531,75651219.0,75694077.0,73893032.5,74202194.9,1.0,1.0,1.8490341987636778,1.8584779246875256,1.023932736870869,1.0361241097479328,111128052224.0,111792577433.6,113491405312.0,113973680281.6,1.6967169484474147,1.7072534716565562,1.0,1.0,139290740736.0,140481348403.2,141604970240.0,142651901504.0,1.372129389005506,1.377544337567782,1.0,1.0,276421935104.0,278784691404.80005,278639263744.0,280955148697.6,0
swebench_verified,4,4,length-sorted disjoint workload group,exploratory_low_n,0.15087575090211647,0.29108364647271856,19.5,20.0,23.0,23.0,83.24943225000001,84.12162575,5.64215275,5.662094874999999,257.94267225,259.36549734999994,495.89738504661545,500.63681932776154,87.91198122895914,103.14147377034904,375466067.5,376279726.95000005,254502995.5,255316654.95,137099219.5,137912878.95,114218451.5,115032110.95,3.287266768418607,3.314493205798708,2.2282147509202836,2.242834782333745,1.565191567336172,1.5855746099578862,1.200324967873758,1.2027095323980161,3.569326609375,3.5947534671875,3.021630671875,3.0502311546875003,1120.6615043621364,1134.0012777082513,1323.8034588981782,1341.3177191252041,151298874.0,151391781.0,96692181.5,97607396.95,1.0,1.0,2.2282147509202836,2.242834782333745,1.565191567336172,1.5855746099578862,142308884480.0,144248579686.4,147283820544.0,148711548518.4,1.9473006532929809,1.961152438199133,1.1591698900862766,1.1774262193990734,195155955456.0,198631242700.80002,200130988032.0,203094308044.8,1.5172100924355885,1.5247346352840454,1.0,1.0,387286237184.0,394182931251.2,392261173248.0,398645900083.19995,0
swebench_verified,8,2,length-sorted disjoint workload group,exploratory_low_n,0.38191419123448017,0.45966252245094363,32.5,32.95,39.625,39.9625,85.19436775,87.14175377499998,5.75083225,5.773408525,262.07255975,264.78475902499997,975.8172715781855,986.0003118432605,118.14337886215787,131.08785566389884,690928182.0,693055710.0,449002038.0,451129566.0,214194486.0,216322014.0,168432950.0,170560478.0,4.1027074622458315,4.141898707199607,2.6660894678041913,2.687134352390363,2.2705953580925207,2.3014674786522527,1.2717434543613813,1.2751759288740616,5.2635296875,5.3300149375,4.1668729375,4.2249517375,1520.1920738961553,1539.3940839695535,1920.365544188604,1947.1320254422264,302690200.0,302793664.0,133339934.0,135198455.6,1.0,1.0,2.6660894678041913,2.687134352390363,2.2705953580925207,2.3014674786522527,190709345792.0,192252514764.8,200911662592.0,203810954905.59998,2.2369489113719996,2.2528185400069307,1.5787086359740667,1.5999152684526083,281872562496.0,284637406905.60004,292074975168.0,296195942918.4,1.693291499432987,1.7012657234690174,1.0,1.0,559375007744.0,564861830758.4,569577324544.0,576420270899.2,0
swebench_verified,16,1,length-sorted disjoint workload group,exploratory_low_n,0.6183012259194396,0.6183012259194396,49.0,49.0,62.0,62.0,122.045536,122.045536,6.726001999999999,6.726001999999999,325.636236,325.636236,1569.6280391749865,1569.6280391749865,186.69492932778203,186.69492932778203,1300718990.0,1300718990.0,816866702.0,816866702.0,347251598.0,347251598.0,255728526.0,255728526.0,5.086327326658896,5.086327326658896,3.1942729064179565,3.1942729064179565,3.274328435656121,3.274328435656121,1.3578915243894223,1.3578915243894223,7.9915164375,7.9915164375,5.7798189375,5.7798189375,2002.123142101089,2002.123142101089,2768.2528074003358,2768.2528074003358,605600816.0,605600816.0,184954206.0,184954206.0,1.0,1.0,3.1942729064179565,3.1942729064179565,3.274328435656121,3.274328435656121,250919287808.0,250919287808.0,274337528832.0,274337528832.0,2.6278021740677873,2.6278021740677873,2.2106492569560108,2.2106492569560108,389746936320.0,389746936320.0,413165273984.0,413165273984.0,1.949979100442644,1.949979100442644,1.1648175735128874,1.1648175735128874,773451284480.0,773451284480.0,796869525504.0,796869525504.0,0
