benchmark,batch_size,group_count,statistical_unit,gpu_energy_status,p95_status,padding_fraction_median,padding_fraction_p95,active_experts_median_median,active_experts_median_p95,active_experts_p95_median,active_experts_p95_p95,gpu_ttft_ms_median_median,gpu_ttft_ms_median_p95,gpu_itl_ms_median_median,gpu_itl_ms_median_p95,gpu_e2e_ms_median_median,gpu_e2e_ms_median_p95,gpu_batch_throughput_tokens_s_median_median,gpu_batch_throughput_tokens_s_median_p95,gpu_archived_batch_energy_joules_median_median,gpu_archived_batch_energy_joules_median_p95,A_original_cycles_median,A_original_cycles_p95,B_arlo_cycles_median,B_arlo_cycles_p95,C_fixed_cycles_median,C_fixed_cycles_p95,D_phased_cycles_median,D_phased_cycles_p95,D_speedup_vs_A_median,D_speedup_vs_A_p95,D_speedup_vs_B_median,D_speedup_vs_B_p95,D_speedup_vs_B_ideal_resource_overlap_median,D_speedup_vs_B_ideal_resource_overlap_p95,D_speedup_vs_C_median,D_speedup_vs_C_p95,D_tpot_ms_proxy_median,D_tpot_ms_proxy_p95,D_tpot_ms_ideal_resource_overlap_lower_bound_median,D_tpot_ms_ideal_resource_overlap_lower_bound_p95,D_aggregate_throughput_tokens_s_proxy_median,D_aggregate_throughput_tokens_s_proxy_p95,D_aggregate_throughput_tokens_s_ideal_resource_overlap_upper_bound_median,D_aggregate_throughput_tokens_s_ideal_resource_overlap_upper_bound_p95,B_ideal_resource_overlap_cycles_median,B_ideal_resource_overlap_cycles_p95,D_ideal_resource_overlap_cycles_median,D_ideal_resource_overlap_cycles_p95,D_vs_D_prime_pure_bank_speedup_median,D_vs_D_prime_pure_bank_speedup_p95,checkpoint_mixed_nvfp4_bf16_D_speedup_vs_B_serial_median,checkpoint_mixed_nvfp4_bf16_D_speedup_vs_B_serial_p95,checkpoint_mixed_nvfp4_bf16_D_speedup_vs_B_ideal_overlap_median,checkpoint_mixed_nvfp4_bf16_D_speedup_vs_B_ideal_overlap_p95,checkpoint_mixed_nvfp4_bf16_D_logical_weight_read_bytes_median,checkpoint_mixed_nvfp4_bf16_D_logical_weight_read_bytes_p95,checkpoint_mixed_nvfp4_bf16_D_physical_hbm_read_bytes_median,checkpoint_mixed_nvfp4_bf16_D_physical_hbm_read_bytes_p95,uniform_mxfp8_D_speedup_vs_B_serial_median,uniform_mxfp8_D_speedup_vs_B_serial_p95,uniform_mxfp8_D_speedup_vs_B_ideal_overlap_median,uniform_mxfp8_D_speedup_vs_B_ideal_overlap_p95,uniform_mxfp8_D_logical_weight_read_bytes_median,uniform_mxfp8_D_logical_weight_read_bytes_p95,uniform_mxfp8_D_physical_hbm_read_bytes_median,uniform_mxfp8_D_physical_hbm_read_bytes_p95,uniform_bf16_D_speedup_vs_B_serial_median,uniform_bf16_D_speedup_vs_B_serial_p95,uniform_bf16_D_speedup_vs_B_ideal_overlap_median,uniform_bf16_D_speedup_vs_B_ideal_overlap_p95,uniform_bf16_D_logical_weight_read_bytes_median,uniform_bf16_D_logical_weight_read_bytes_p95,uniform_bf16_D_physical_hbm_read_bytes_median,uniform_bf16_D_physical_hbm_read_bytes_p95,D_bank_stall_cycles_max
gpqa_diamond,1,16,length-sorted disjoint workload group,archived_legacy_integration_requires_recapture,exploratory_low_n,0.0,0.0,6.0,6.0,6.0,6.0,83.83848024999999,84.385398375,4.44984275,4.46336375,222.21144775,223.2873535,144.00314477275214,146.50048776855286,61.003777287755,61.68934945472838,129475211.0,129508932.5,99234443.0,99268164.5,69883499.0,69917220.5,64163307.0,64197028.5,2.017901150378007,2.018012291298984,1.54659177719675,1.5466514575630546,1.0,1.0,1.089150517142833,1.0891602511632508,2.00510334375,2.006157140625,1.8693008125,1.870106265625,498.7274113474966,498.7818655779427,534.9593780647815,535.0072730076827,59817626.0,59843400.5,59817626.0,59843400.5,1.0,1.0,1.54659177719675,1.5466514575630546,1.0,1.0,91481341952.0,91481341952.0,92419424256.0,92459630592.0,1.4383709035261782,1.4384092901069696,1.0,1.0,116193917952.0,116193917952.0,117132083200.0,117172289536.0,1.2542566804638304,1.2542695933971106,1.0,1.0,206566965248.0,206566965248.0,207505047552.0,207545253888.0,0
gpqa_diamond,2,8,length-sorted disjoint workload group,archived_legacy_integration_requires_recapture,exploratory_low_n,0.026409378292939937,0.12322539939233557,11.0,11.0,12.0,12.0,79.218241,80.89195775,5.07345175,5.0976555999999995,236.65791424999998,239.24277747499997,270.3300695215646,271.82324719701603,69.35674695602589,71.02701990175301,211765437.0,213000790.45000002,151283901.0,152519254.45,92582013.0,93817366.45,81141629.0,82376982.45,2.609824820904593,2.6310673254419137,1.8644424947421627,1.8758492784979843,1.044324494407785,1.0596189228407937,1.140992782294938,1.1428532579061579,2.53567590625,2.5742807015625,2.26416228125,2.3026672609374996,788.744334707299,799.1522405186847,883.328910844873,896.3025840595272,75661929.0,75669075.0,72453193.0,73685352.35000001,1.0,1.0,1.8644424947421627,1.8758492784979843,1.044324494407785,1.0596189228407937,109354660352.0,111238230118.40001,111244943872.0,113167066009.6,1.6469250806471734,1.6595779068383258,1.0,1.0,151940307456.0,155707446988.8,153810066432.0,157636365312.0,1.3808510563713416,1.3886293729485035,1.0,1.0,270116102144.0,276813239091.19995,271985778688.0,278742074982.4,0
gpqa_diamond,4,4,length-sorted disjoint workload group,archived_legacy_integration_requires_recapture,exploratory_low_n,0.10782923196936388,0.1976095114879248,19.5,20.0,23.0,23.0,80.23918825,80.692313825,5.57676775,5.5965235,252.548253,253.64575049999996,506.5086401963339,512.4807202066349,78.239722424427,81.45279259375872,373544709.0,374850606.90000004,252581637.0,253887534.9,135177861.0,136483758.9,112297093.0,113602990.9,3.326408341884295,3.3837571957452517,2.2492329629489687,2.2800281064070704,1.5938025974611274,1.640445976726361,1.2037530920240789,1.2087758587017217,3.50928415625,3.550093465625,2.96692621875,3.0066096468750003,1139.8391775609152,1167.9376283969316,1348.2053490214525,1387.6721656558009,151318192.0,151331119.0,94941639.0,96211508.69999999,1.0,1.0,2.2492329629489687,2.2800281064070704,1.5938025974611274,1.640445976726361,140790863360.0,142590244966.4,144552236544.0,146533244620.8,1.8781883948177525,1.9088997004155235,1.0627141771666555,1.1045790232166919,214812218880.0,218410982092.8,218573673472.0,222354063155.19998,1.5257175271817318,1.545312754639649,1.0,1.0,381888389120.0,388286190387.2,385649762304.0,392229190041.6,0
gpqa_diamond,8,2,length-sorted disjoint workload group,archived_legacy_integration_requires_recapture,exploratory_low_n,0.2636341250371692,0.3636167019774011,32.5,32.95,40.125,40.2375,82.59143875,82.73506817499998,5.7444545,5.75305715,257.86298375,258.09275352500003,991.7482282861148,992.7407103939556,91.15777026707389,92.87809506773662,686618681.0,688413147.8000001,444692537.0,446487003.79999995,209884985.0,211679451.79999998,164123449.0,165917915.79999998,4.184020074169894,4.218833005219322,2.7097526516443677,2.7284464725961066,2.3396463150736366,2.3712711180568107,1.2788650313441488,1.2819140413636008,5.12885778125,5.18493486875,4.04321090625,4.09806388125,1560.03172673448,1577.0885529078787,1979.0751523219092,2005.9246445622537,302641340.0,302656406.0,129382749.0,131138044.2,1.0,1.0,2.7097526516443677,2.7284464725961066,2.3396463150736366,2.3712711180568107,187019270144.0,189560068812.8,194737051648.0,197475323392.0,2.163480030120103,2.1799921127440554,1.4663035491548757,1.4902636580289848,307268043264.0,312349640601.6,314985906176.0,320264976588.8,1.711577588983838,1.7223247222370228,1.0,1.0,546254299136.0,555288249958.4,553972080640.0,563203504537.6,0
gpqa_diamond,16,1,length-sorted disjoint workload group,archived_legacy_integration_requires_recapture,exploratory_low_n,0.5228892543859649,0.5228892543859649,51.0,51.0,64.0,64.0,83.300693,83.300693,6.7371825,6.7371825,285.99881,285.99881,1787.3985935297842,1787.3985935297842,120.30925489279176,120.30925489279176,1295543957.0,1295543957.0,811691669.0,811691669.0,342076565.0,342076565.0,250553493.0,250553493.0,5.170727981030383,5.170727981030383,3.2395943049175533,3.2395943049175533,3.3443356185343474,3.3443356185343474,1.3652835604251583,1.3652835604251583,7.82979665625,7.82979665625,5.65608065625,5.65608065625,2043.4758017921547,2043.4758017921547,2828.8139742703124,2828.8139742703124,605306624.0,605306624.0,180994581.0,180994581.0,1.0,1.0,3.2395943049175533,3.2395943049175533,3.3443356185343474,3.3443356185343474,252283308032.0,252283308032.0,268157700096.0,268157700096.0,2.518759154851007,2.518759154851007,2.018277027327002,2.018277027327002,437794140672.0,437794140672.0,453668614144.0,453668614144.0,1.9547323923228621,1.9547323923228621,1.168128358846093,1.168128358846093,778300694528.0,778300694528.0,794175086592.0,794175086592.0,0
swebench_verified,1,16,length-sorted disjoint workload group,archived_legacy_integration_requires_recapture,exploratory_low_n,0.0,0.0,6.0,6.0,6.0,6.0,80.42306725,81.801062,4.439170750000001,4.4527205,218.74961925,220.573176875,146.28109956165451,147.04786944648384,63.23397809366813,66.84843556595706,129603821.0,129787374.5,99363053.0,99546606.5,70012109.0,70195662.5,64291917.0,64475470.5,2.0158649367958827,2.0171845388935536,1.5454983727928038,1.546206971712739,1.0,1.0,1.0889721800874206,1.0890877543839879,2.0091224062500004,2.014858453125,1.8723709375,1.8767515000000001,497.7297550147712,498.376302803754,534.0822066935023,534.6504305214164,59915870.0,60056048.0,59915870.0,60056048.0,1.0,1.0,1.5454983727928038,1.546206971712739,1.0,1.0,91481341952.0,91481341952.0,92572680192.0,92791357440.0,1.4376673287832644,1.4381233550515053,1.0,1.0,116193917952.0,116193917952.0,117285339136.0,117504016384.0,1.2540198352517962,1.2541733839871299,1.0,1.0,206566965248.0,206566965248.0,207658303488.0,207876980736.0,0
swebench_verified,2,8,length-sorted disjoint workload group,archived_legacy_integration_requires_recapture,exploratory_low_n,0.030070796980112217,0.1520461973048824,11.0,11.0,12.0,12.0,80.7272145,81.42485169999999,5.0866722499999995,5.106899074999999,238.9031195,239.988140425,267.7972247763671,269.7185971068785,75.1271850399225,83.60455846940653,213273654.0,213624819.4,152792118.0,153143283.4,94090230.0,94441395.4,82649846.0,83001011.4,2.580449071031617,2.5980205933320297,1.8486683271586064,1.8581038696949994,1.0243988899967014,1.0365958735853948,1.1384199752088453,1.1399589363343798,2.5828076875,2.59378160625,2.309175265625,2.3188365906249997,774.3514914679527,782.9607752152646,866.1114323911008,876.5995692482192,75686259.0,75729117.0,73893608.5,74202770.9,1.0,1.0,1.8486683271586064,1.8581038696949994,1.0243988899967014,1.0365958735853948,111128224256.0,111792749465.6,113491921408.0,113974196377.6,1.6314461318772049,1.6409203513863841,1.0,1.0,155487435264.0,156816485683.2,157785040896.0,158987369472.0,1.3720590862442819,1.3774719735732794,1.0,1.0,276422107136.0,278784863436.8,278639779840.0,280955664793.6,0
swebench_verified,4,4,length-sorted disjoint workload group,archived_legacy_integration_requires_recapture,exploratory_low_n,0.15087575090211647,0.29108364647271856,19.5,20.0,23.0,23.0,83.24943225000001,84.12162575,5.64215275,5.662094874999999,257.94267225,259.36549734999994,495.89738504661545,500.63681932776154,87.91198122895914,103.14147377034904,375537139.5,376350798.95000005,254574067.5,255387726.95000002,137170291.5,137983950.95000002,114289523.5,115103182.95,3.285844405446561,3.3130367643449627,2.227450971545026,2.242052703521584,1.5658994350225366,1.5862916240448155,1.2002003935037657,1.2025819733430516,3.571547609375,3.5969744671874997,3.021662671875,3.0502631546874994,1119.9646082020508,1133.2876845703167,1323.789439243681,1341.3033259727954,151368922.0,151461829.0,96693205.5,97608420.94999999,1.0,1.0,2.227450971545026,2.242052703521584,1.5658994350225366,1.5862916240448155,142309056512.0,144248751718.4,147284680704.0,148712408678.4,1.8622099569306165,1.874800500932257,1.0434643367940175,1.0597404143224154,217848605184.0,221727995596.80002,222824310784.0,226191733964.8,1.5170745911254944,1.5245951735418295,1.0,1.0,387286409216.0,394183103283.2,392262033408.0,398646760243.19995,0
swebench_verified,8,2,length-sorted disjoint workload group,archived_legacy_integration_requires_recapture,exploratory_low_n,0.38191419123448017,0.45966252245094363,32.5,32.95,39.625,39.9625,85.19436775,87.14175377499998,5.75083225,5.773408525,262.07255975,264.78475902499997,975.8172715781855,986.0003118432605,118.14337886215787,131.08785566389884,691070870.0,693198398.0,449144726.0,451272254.0,214337174.0,216464702.0,168575638.0,170703166.0,4.100080194451733,4.1392051089067,2.6646786795638837,2.6856879460497995,2.271619379360251,2.3025053356322425,1.271513351190332,1.2749400162997426,5.2679886875,5.3344739375,4.1669319375,4.2250107375,1518.9048266370469,1538.0743376431712,1920.3383404976862,1947.1040635963486,302831000.0,302934464.0,133341822.0,135200343.6,1.0,1.0,2.6646786795638837,2.6856879460497995,2.271619379360251,2.3025053356322425,190709517824.0,192252686796.8,200913210880.0,203812503193.6,2.1314373419941055,2.1456553102835105,1.4234492911892749,1.442012844662611,314648538624.0,317734876569.6,324852313088.0,329294774374.4,1.6930471017081026,1.7010157055375348,1.0,1.0,559375179776.0,564862002790.4,569578872832.0,576421819187.2001,0
swebench_verified,16,1,length-sorted disjoint workload group,archived_legacy_integration_requires_recapture,exploratory_low_n,0.6183012259194396,0.6183012259194396,49.0,49.0,62.0,62.0,122.045536,122.045536,6.726001999999999,6.726001999999999,325.636236,325.636236,1569.6280391749865,1569.6280391749865,186.69492932778203,186.69492932778203,1301004206.0,1301004206.0,817151918.0,817151918.0,347536814.0,347536814.0,256013742.0,256013742.0,5.081774891599373,5.081774891599373,3.191828343339476,3.191828343339476,3.2757861907286188,3.2757861907286188,1.3574928098976813,1.3574928098976813,8.0004294375,8.0004294375,5.7799329375,5.7799329375,1999.8926463877083,1999.8926463877083,2768.198208009053,2768.198208009053,605882384.0,605882384.0,184957854.0,184957854.0,1.0,1.0,3.191828343339476,3.191828343339476,3.2757861907286188,3.2757861907286188,250919459840.0,250919459840.0,274340453376.0,274340453376.0,2.5001389746373754,2.5001389746373754,1.999601447613607,1.999601447613607,435066444288.0,435066444288.0,458487519232.0,458487519232.0,1.9495206182006117,1.9495206182006117,1.1653509669185016,1.1653509669185016,773451456512.0,773451456512.0,796872450048.0,796872450048.0,0
