key,benchmark,batch_size,group_index,sample_ids,prompt_length_min,prompt_length_max,padded_context_length,padding_fraction,active_experts_median,active_experts_p95,active_experts_max,gpu_ttft_ms_median,gpu_itl_ms_median,gpu_e2e_ms_median,gpu_batch_throughput_tokens_s_median,gpu_archived_batch_energy_joules_median,gpu_energy_status,A_original_cycles,B_arlo_cycles,C_fixed_cycles,D_phased_cycles,E_overlap_cycles,D_speedup_vs_A,D_speedup_vs_B,D_speedup_vs_B_ideal_resource_overlap,D_speedup_vs_C,C_bank_stall_cycles,D_bank_stall_cycles,D_tpot_ms_proxy,D_tpot_ms_ideal_resource_overlap_lower_bound,D_aggregate_throughput_tokens_s_proxy,D_aggregate_throughput_tokens_s_ideal_resource_overlap_upper_bound,B_ideal_resource_overlap_cycles,D_ideal_resource_overlap_cycles,D_prime_workload_bank_stall_cycles,D_vs_D_prime_pure_bank_speedup,checkpoint_mixed_nvfp4_bf16_D_speedup_vs_B_serial,checkpoint_mixed_nvfp4_bf16_D_speedup_vs_B_ideal_overlap,checkpoint_mixed_nvfp4_bf16_D_logical_weight_read_bytes,checkpoint_mixed_nvfp4_bf16_D_physical_hbm_read_bytes,uniform_mxfp8_D_speedup_vs_B_serial,uniform_mxfp8_D_speedup_vs_B_ideal_overlap,uniform_mxfp8_D_logical_weight_read_bytes,uniform_mxfp8_D_physical_hbm_read_bytes,uniform_bf16_D_speedup_vs_B_serial,uniform_bf16_D_speedup_vs_B_ideal_overlap,uniform_bf16_D_logical_weight_read_bytes,uniform_bf16_D_physical_hbm_read_bytes
bfcl_v3_b1_g0,bfcl_v3,1,0,bfcl_v3:multi_turn_base_10,3786,3786,3786,0.0,6.0,6.0,6,80.534289,4.4521584999999995,219.252883,145.94586563966746,73.215422147634,archived_legacy_integration_requires_recapture,130070162,99829394,70478450,64758258,64758258,2.0085494270089845,1.5415700959713894,1.0,1.088331468088595,188416,0,2.0236955625,1.8834990625,494.1454725357189,530.9267309497267,60271970,60271970,0,1.0,1.5415700959713894,1.0,91481341952,93128196096,1.435134988595912,1.0,116193917952,117840855040,1.253164719974601,1.0,206566965248,208213819392
bfcl_v3_b1_g1,bfcl_v3,1,1,bfcl_v3:multi_turn_base_9,3790,3790,3790,0.0,6.0,6.0,6,83.18088800000001,4.4902435,223.008483,143.4877362503342,73.221614359231,archived_legacy_integration_requires_recapture,130070804,99830036,70479092,64758900,64758900,2.0085394285573104,1.541564727010496,1.0,1.0883305923973385,188416,0,2.023715625,1.8835148125,494.14057372808986,530.9222913265514,60272474,60272474,0,1.0,1.541564727010496,1.0,91481341952,93128982528,1.4351315225864283,1.0,116193917952,117841641472,1.2531635467273374,1.0,206566965248,208214605824
bfcl_v3_b1_g2,bfcl_v3,1,2,bfcl_v3:multi_turn_base_1,3798,3798,3798,0.0,6.0,6.0,6,83.859932,4.5005155,224.40205650000001,142.5981089074035,74.07428879309148,archived_legacy_integration_requires_recapture,130072100,99831332,70480388,64760196,64760196,2.00851924537103,1.5415538890586433,1.0,1.0883288246996659,188416,0,2.023756125,1.8835463125,494.1306848422756,530.9134123029428,60273482,60273482,0,1.0,1.5415538890586433,1.0,91481341952,93130555392,1.4351245259504726,1.0,116193917952,117843214336,1.2531611783360879,1.0,206566965248,208216178688
bfcl_v3_b1_g3,bfcl_v3,1,3,bfcl_v3:multi_turn_base_12,3798,3798,3798,0.0,6.0,6.0,6,83.676182,4.4980585,224.0986355,142.78998514600556,74.61349160993498,archived_legacy_integration_requires_recapture,130072100,99831332,70480388,64760196,64760196,2.00851924537103,1.5415538890586433,1.0,1.0883288246996659,188416,0,2.023756125,1.8835463125,494.1306848422756,530.9134123029428,60273482,60273482,0,1.0,1.5415538890586433,1.0,91481341952,93130555392,1.4351245259504726,1.0,116193917952,117843214336,1.2531611783360879,1.0,206566965248,208216178688
bfcl_v3_b1_g4,bfcl_v3,1,4,bfcl_v3:multi_turn_base_3,3804,3804,3804,0.0,6.0,6.0,6,82.3964965,4.4757774999999995,222.312935,143.93679569281502,74.919947881486,archived_legacy_integration_requires_recapture,130073036,99832268,70481324,64761132,64761132,2.0085046691277726,1.5415460619187447,1.0,1.0883275480731252,188416,0,2.023785375,1.8835699375,494.12354311533653,530.906753230128,60274238,60274238,0,1.0,1.5415460619187447,1.0,91481341952,93131735040,1.4351194729644352,1.0,116193917952,117844393984,1.2531594678588553,1.0,206566965248,208217358336
bfcl_v3_b1_g5,bfcl_v3,1,5,bfcl_v3:multi_turn_base_6,3811,3811,3811,0.0,6.0,6.0,6,80.26906249999999,4.4565245,219.62892,145.69619618199187,75.320969724344,archived_legacy_integration_requires_recapture,130074164,99833396,70482452,64762260,64762260,2.0084871034457414,1.5415366295123116,1.0,1.0883260096235061,188416,0,2.023820625,1.8835975,494.1149366930678,530.8989845229673,60275120,60275120,0,1.0,1.5415366295123116,1.0,91481341952,93133111296,1.4351133836243763,1.0,116193917952,117845770240,1.25315740654521,1.0,206566965248,208218734592
bfcl_v3_b1_g6,bfcl_v3,1,6,bfcl_v3:multi_turn_base_14,5400,5400,5400,0.0,6.0,6.0,6,80.78106249999999,4.4539245,219.3791215,145.86181075438577,79.25011058684774,archived_legacy_integration_requires_recapture,130336460,100095692,70744748,65024556,65024556,2.004419069005254,1.539352179505847,1.0,1.0879697202392278,188416,0,2.032017375,1.8898556875,492.1217762717211,529.1409320903504,60475382,60475382,0,1.0,1.539352179505847,1.0,91481341952,93445521408,1.4337020303621655,1.0,116193917952,118158180352,1.2526789950425223,1.0,206566965248,208531144704
bfcl_v3_b1_g7,bfcl_v3,1,7,bfcl_v3:multi_turn_base_2,5597,5597,5597,0.0,6.0,6.0,6,81.9220435,4.48205,221.069221,144.7469176935138,81.36141498446749,archived_legacy_integration_requires_recapture,130368926,100128158,70777214,65057022,65057022,2.0039178245816416,1.539083021660598,1.0,1.0879258199061126,188416,0,2.0330319375,1.8906315625,491.876188246059,528.9237839009154,60500210,60500210,0,1.0,1.539083021660598,1.0,91481341952,93484253184,1.4335279749494958,1.0,116193917952,118196912128,1.252619904815442,1.0,206566965248,208569876480
bfcl_v3_b1_g8,bfcl_v3,1,8,bfcl_v3:multi_turn_base_15,6535,6535,6535,0.0,6.0,6.0,6,82.52086800000001,4.4738085000000005,222.3146695,143.936268146928,84.78614945673276,archived_legacy_integration_requires_recapture,130523858,100283090,70932146,65211954,65211954,2.0015326944504683,1.5378022563163802,1.0,1.0877169238020379,188416,0,2.0378735625,1.894325875,490.70757793885457,527.8922772461206,60618428,60618428,0,1.0,1.5378022563163802,1.0,91481341952,93668671488,1.432699280187903,1.0,116193917952,118381330432,1.252338298732592,1.0,206566965248,208754294784
bfcl_v3_b1_g9,bfcl_v3,1,9,bfcl_v3:multi_turn_base_11,6643,6643,6643,0.0,6.0,6.0,6,81.770802,4.467918,221.516973,144.45451044768686,85.61633081644575,archived_legacy_integration_requires_recapture,130541630,100300862,70949918,65229726,65229726,2.0012598243935593,1.537655730762996,1.0,1.0876930251094417,188416,0,2.0384289375,1.8947513125,490.5738834469426,527.7737470890391,60632042,60632042,0,1.0,1.537655730762996,1.0,91481341952,93689905152,1.4326044244513472,1.0,116193917952,118402564096,1.252306036287181,1.0,206566965248,208775528448
