state_mode,model,case,phase,batch,tokens,variant,cycles,latency_us_proxy,speedup_vs_A,speedup_vs_B,speedup_vs_D_prime,speedup_vs_D,bank_stall_cycles,matrix_sram_service_cycles,physical_hbm_read_bytes,physical_hbm_write_bytes
official_fp32_streamed,nemotron3,decode_b16_t1,decode,16,1,D_prime_best_global_fixed,30231420,30231.42,1.5001302618269337,0.9999756544680998,1.0,1.0,0,282624,15531762176,847157248
official_fp32_streamed,nemotron3,decode_b16_t1,decode,16,1,D_compiler_per_tile_affine,30231420,30231.42,1.5001302618269337,0.9999756544680998,1.0,1.0,0,282624,15531762176,847157248
official_fp32_streamed,nemotron3,decode_b16_t1,decode,16,1,E_affine_plus_matrix_overlap,30075894,30075.894,1.5078876125843508,1.005146646679896,1.0051711181054168,1.0051711181054168,0,282624,15531762176,847157248
official_fp32_streamed,nemotron3,decode_b1_t4,decode,1,4,A_original_fixed,16349898,16349.898,1.0,0.7688000255414438,0.7688112794342815,0.7688112794342815,0,0,11698915328,211789312
official_fp32_streamed,nemotron3,decode_b1_t4,decode,1,4,B_arlo_static,12569802,12569.802,1.3007283646950047,1.0,1.0000146382576274,1.0000146382576274,0,0,11698915328,211789312
official_fp32_streamed,nemotron3,decode_b1_t4,decode,1,4,C_multirow_original_fixed,12640642,12640.642,1.2934388933726626,0.9943958542611997,0.9944104104838979,0.9944104104838979,70656,141312,11698915328,211789312
official_fp32_streamed,nemotron3,decode_b1_t4,decode,1,4,D_prime_best_global_fixed,12569986,12569.986,1.3007093245768133,0.9999853619566481,1.0,1.0,0,70656,11698915328,211789312
official_fp32_streamed,nemotron3,decode_b1_t4,decode,1,4,D_compiler_per_tile_affine,12569986,12569.986,1.3007093245768133,0.9999853619566481,1.0,1.0,0,70656,11698915328,211789312
official_fp32_streamed,nemotron3,decode_b1_t4,decode,1,4,E_affine_plus_matrix_overlap,12531070,12531.07,1.3047487564908664,1.003090877315345,1.0031055608180306,1.0031055608180306,0,70656,11698915328,211789312
official_fp32_streamed,nemotron3,decode_b1_t32,decode,1,32,A_original_fixed,130801458,130801.458,1.0,0.7688040449824344,0.7688152986796217,0.7688152986796217,0,0,93594075136,1694314496
official_fp32_streamed,nemotron3,decode_b1_t32,decode,1,32,B_arlo_static,100560690,100560.69,1.300721564261343,1.0,1.0000146379266093,1.0000146379266093,0,0,93594075136,1694314496
official_fp32_streamed,nemotron3,decode_b1_t32,decode,1,32,C_multirow_original_fixed,101127410,101127.41,1.2934322949633537,0.9943959802787394,0.9944105361741193,0.9944105361741193,565248,1130496,93594075136,1694314496
official_fp32_streamed,nemotron3,decode_b1_t32,decode,1,32,D_prime_best_global_fixed,100562162,100562.162,1.3007025246732464,0.9999853622876564,1.0,1.0,0,565248,93594075136,1694314496
official_fp32_streamed,nemotron3,decode_b1_t32,decode,1,32,D_compiler_per_tile_affine,100562162,100562.162,1.3007025246732464,0.9999853622876564,1.0,1.0,0,565248,93594075136,1694314496
official_fp32_streamed,nemotron3,decode_b1_t32,decode,1,32,E_affine_plus_matrix_overlap,100250834,100250.834,1.3047418438434137,1.0030908072046563,1.0031054903742747,1.0031054903742747,0,565248,93594075136,1694314496
official_fp32_streamed,nemotron3,decode_b1_t128,decode,1,128,A_original_fixed,523237104,523237.104,1.0,0.7688178627332208,0.7688291157578152,0.7688291157578152,0,0,374414049280,6777257984
official_fp32_streamed,nemotron3,decode_b1_t128,decode,1,128,B_arlo_static,402274032,402274.032,1.3006981867524574,1.0,1.0000146367886853,1.0000146367886853,0,0,374414049280,6777257984
official_fp32_streamed,nemotron3,decode_b1_t128,decode,1,128,C_multirow_original_fixed,404540912,404540.912,1.2934096119306717,0.9943964134831436,0.9944109682533172,0.9944109682533172,2260992,4521984,374414049280,6777257984
official_fp32_streamed,nemotron3,decode_b1_t128,decode,1,128,D_prime_best_global_fixed,402279920,402279.92,1.300679148986606,0.9999853634255471,1.0,1.0,0,2260992,374414049280,6777257984
official_fp32_streamed,nemotron3,decode_b1_t128,decode,1,128,D_compiler_per_tile_affine,402279920,402279.92,1.300679148986606,0.9999853634255471,1.0,1.0,0,2260992,374414049280,6777257984
official_fp32_streamed,nemotron3,decode_b1_t128,decode,1,128,E_affine_plus_matrix_overlap,401034608,401034.608,1.304718080590192,1.0030905661887415,1.003105248213391,1.003105248213391,0,2260992,374414049280,6777257984
official_fp32_streamed,nemotron3,prefill_b1_s16,prefill,1,16,A_original_fixed,10278303,10278.303,1.0,1.0,1.0,1.0,0,0,14522507776,89724928
official_fp32_streamed,nemotron3,prefill_b1_s16,prefill,1,16,B_arlo_static,10278303,10278.303,1.0,1.0,1.0,1.0,0,0,14522507776,89724928
official_fp32_streamed,nemotron3,prefill_b1_s16,prefill,1,16,C_multirow_original_fixed,10278303,10278.303,1.0,1.0,1.0,1.0,0,0,14522507776,89724928
official_fp32_streamed,nemotron3,prefill_b1_s16,prefill,1,16,D_prime_best_global_fixed,10278303,10278.303,1.0,1.0,1.0,1.0,0,0,14522507776,89724928
official_fp32_streamed,nemotron3,prefill_b1_s16,prefill,1,16,D_compiler_per_tile_affine,10278303,10278.303,1.0,1.0,1.0,1.0,0,0,14522507776,89724928
official_fp32_streamed,nemotron3,prefill_b1_s16,prefill,1,16,E_affine_plus_matrix_overlap,10278303,10278.303,1.0,1.0,1.0,1.0,0,0,14522507776,89724928
official_fp32_streamed,nemotron3,prefill_b1_s128,prefill,1,128,A_original_fixed,19731330,19731.33,1.0,1.0,1.0,1.0,0,0,18973663744,364331008
