machine,point_id,MLEN,VLEN,INT_DATA_WIDTH,FP_SETTING,fp_width,baseline_area_um2,rtl_v3_area_um2,delta_area_um2,baseline_elapsed_sec,rtl_v3_elapsed_sec,baseline_report_dir,rtl_v3_report_dir,feat_vlen_width,feat_fp_width,feat_const,baseline_total_area,rtl_v3_total_area,delta_total_area,baseline_int_alu_area,rtl_v3_int_alu_area,delta_int_alu_area,baseline_fp_alu_area,rtl_v3_fp_alu_area,delta_fp_alu_area,baseline_fp_sfu_area,rtl_v3_fp_sfu_area,delta_fp_sfu_area,baseline_scalar_sram_area,rtl_v3_scalar_sram_area,delta_scalar_sram_area,baseline_top_glue_area,rtl_v3_top_glue_area,delta_top_glue_area,split,predicted_delta_area_um2,predicted_rtl_v3_area_um2,total_error_pct
scalar,area_new_scalar_m16_v16_i32_fp_e5m6,16,16,32,FP_E5M6,12,650.340891,1260.747163,610.406272,51.271,58.961,Workspace/area_new_vector_scalar_calibration/runs/rtl_v3_smoke_fixed_20260720/raw/scalar_baseline/reports/scalar_machine_5f14f3ba38ee,Workspace/area_new_vector_scalar_calibration/runs/rtl_v3_smoke_fixed_20260720/raw/scalar_rtl_v3/reports/scalar_machine_5f14f3ba38ee,192.0,12.0,1.0,650.3409,1260.7472,610.4063,202.2538,202.2538,0.0,109.7728,0.0,-109.7728,157.9889,0.0,-157.9889,0.2624,0.2624,0.0,180.063,1058.231,878.168,train,610.4062720000005,1260.7471630000005,3.606967076605384e-14
scalar,area_new_scalar_m16_v16_i32_fp_e8m5,16,16,32,FP_E8M5,14,661.49459,1316.705202,655.2106120000001,51.4,58.442,Workspace/area_new_vector_scalar_calibration/runs/rtl_v3_smoke_fixed_20260720/raw/scalar_baseline/reports/scalar_machine_f55d0fca3d5d,Workspace/area_new_vector_scalar_calibration/runs/rtl_v3_smoke_fixed_20260720/raw/scalar_rtl_v3/reports/scalar_machine_f55d0fca3d5d,224.0,14.0,1.0,661.4946,1316.7052,655.2106000000001,202.2538,202.2538,0.0,119.7601,0.0,-119.7601,145.625,0.0,-145.625,0.2624,0.2624,0.0,193.59329999999994,1114.189,920.5957000000001,train,655.2106119999991,1316.7052019999992,6.907352537162135e-14
scalar,area_new_scalar_m16_v16_i64_fp_e8m5,16,16,64,FP_E8M5,14,1114.815943,1770.114034,655.2980909999999,58.854,68.287,Workspace/area_new_vector_scalar_calibration/runs/rtl_v3_smoke_fixed_20260720/raw/scalar_baseline/reports/scalar_machine_ec68c1a911b1,Workspace/area_new_vector_scalar_calibration/runs/rtl_v3_smoke_fixed_20260720/raw/scalar_rtl_v3/reports/scalar_machine_ec68c1a911b1,224.0,14.0,1.0,1114.8159,1770.114,655.2981,609.2253,609.2253,0.0,119.7601,0.0,-119.7601,145.6396,0.0,-145.6396,0.2624,0.2624,0.0,239.92850000000013,1160.6263,920.6977999999998,holdout,655.2106119999991,1770.026554999999,0.004941997991127151
scalar,area_new_scalar_m32_v32_i32_fp_e5m6,32,32,32,FP_E5M6,12,727.935649,1338.341921,610.406272,1134.488,61.067,Workspace/area_new_scalar_calibration/runs/rich_v2_20260710_160345/reports/scalar_machine_38e32c8ac03e,Workspace/area_new_vector_scalar_calibration/runs/rtl_v3_smoke_fixed_20260720/raw/scalar_rtl_v3/reports/scalar_machine_685f7d015ed6,384.0,12.0,1.0,727.9356,1338.3419,610.4062999999999,202.2538,202.2538,0.0,109.7728,0.0,-109.7728,157.9889,0.0,-157.9889,0.2624,0.2624,0.0,257.65770000000003,1135.8256999999999,878.1679999999999,train,610.4062720000005,1338.3419210000006,5.096762012954209e-14
