benchmark,mode,batch_size,generation_limit,group_index,sample_ids,prompt_length_min,prompt_length_max,padded_prompt_length,warmup,measurements,request_measurement_count,generated_tokens_total,ttft_ms_median,ttft_ms_p95,itl_ms_median,itl_ms_p95,tpot_ms_median,tpot_ms_p95,e2e_ms_median,e2e_ms_p95,batch_throughput_tokens_per_s_median,batch_throughput_tokens_per_s_p95,gpu_memory_used_peak_bytes,batch_energy_joules_median,batch_energy_joules_p95,batch_tokens_per_joule_median,power_status
gpqa_diamond,batch_sweep,8,32,1,"[""gpqa_diamond:rec1oj2DveQWl9Rpw"", ""gpqa_diamond:rec1zl5LvaatzGhFt"", ""gpqa_diamond:rec260hNUCEj109Dj"", ""gpqa_diamond:rec2ZTsqazBZ3LTWZ"", ""gpqa_diamond:rec2fsnzUuvNtUYK8"", ""gpqa_diamond:rec32C1ZEapBnCC0E"", ""gpqa_diamond:rec47oNPXudlTIk4y"", ""gpqa_diamond:rec4L69T0Y1AS4AFS""]",185,456,456,5,20,160,5120,82.4318505,85.89856915000001,5.7540130000000005,6.102828500000001,5.683756548387096,5.77246680483871,258.1182835,262.54636500000004,990.6454703885139,1008.3674160264767,71763296256,93.06924226781027,120.47359665829194,2.7508888933611853,supported
gpqa_diamond,batch_sweep,16,32,0,"[""gpqa_diamond:rec06pnAkLOr2t2mp"", ""gpqa_diamond:rec0Arme2jcXQZnAW"", ""gpqa_diamond:rec0VuKUjt1SZ7NYv"", ""gpqa_diamond:rec0wZvZgiz320KRs"", ""gpqa_diamond:rec0yTRmO1o1xCA6H"", ""gpqa_diamond:rec1oj2DveQWl9Rpw"", ""gpqa_diamond:rec1zl5LvaatzGhFt"", ""gpqa_diamond:rec260hNUCEj109Dj"", ""gpqa_diamond:rec2UlKqC6RFHdcro"", ""gpqa_diamond:rec2ZTsqazBZ3LTWZ"", ""gpqa_diamond:rec2fsnzUuvNtUYK8"", ""gpqa_diamond:rec32C1ZEapBnCC0E"", ""gpqa_diamond:rec47oNPXudlTIk4y"", ""gpqa_diamond:rec4JrWy7Il8ho5vk"", ""gpqa_diamond:rec4L69T0Y1AS4AFS"", ""gpqa_diamond:rec4UqStf9WUVif1f""]",137,456,456,5,20,320,10240,83.300693,87.10076889999999,6.7371825,7.048398999999988,6.530883258064517,6.568971977419355,285.99881,289.1674556,1787.3985935297842,1792.645977674991,76788072448,120.30925489279176,122.99056365611679,4.255703076438037,supported
swebench_verified,b1_long,1,128,0,"[""swebench_verified:astropy__astropy-14096""]",387,387,387,5,20,20,2560,83.00510700000001,98.15333380000001,4.4401275,4.7515194,4.4638127125984255,4.636294883070866,650.9518005,685.7920448,196.63312431331894,198.33934918581508,67472523264,195.9503481149465,209.36028809767686,0.6532267086673803,supported
swebench_verified,b1_long,1,128,1,"[""swebench_verified:astropy__astropy-12907""]",478,478,478,5,20,20,2560,81.713144,107.20982685000033,4.4437265,4.637492900000001,4.464708275590551,4.48440168031496,648.997689,675.9260707000003,197.2248169005851,198.16324942533615,67472523264,195.2127426380897,215.59695925276915,0.6556949090867891,supported
swebench_verified,b1_long,1,128,2,"[""swebench_verified:astropy__astropy-14539""]",609,609,609,5,20,20,2560,81.2085985,83.12341195,4.441052,4.6305248,4.46106981496063,4.469500736220473,647.3889939999999,650.29090115,197.7152606093448,197.97636125338536,67472523264,195.96604562761672,224.65309616547978,0.6531743782748696,supported
swebench_verified,b1_long,1,128,3,"[""swebench_verified:astropy__astropy-14365""]",618,618,618,5,20,20,2560,81.1247485,83.77691795,4.4397765,4.63609875,4.461078232283464,4.473234868897638,647.7468375,651.3088716,197.60600143813542,198.14982842895628,67472523264,195.85395336089198,216.7215417269601,0.6535535942674773,supported
swebench_verified,b1_long,1,128,4,"[""swebench_verified:astropy__astropy-13236""]",633,633,633,5,20,20,2560,81.0448715,83.65537805,4.439865,4.62059205,4.462046523622048,4.471526695669291,647.6945989999999,650.32983775,197.6221644860205,198.16783451431664,67472523264,195.18423201480374,211.6790839243138,0.6557909701210451,supported
swebench_verified,b1_long,1,128,5,"[""swebench_verified:astropy__astropy-14182""]",708,708,708,5,20,20,2560,83.000214,89.33272015,4.472336,4.74800575,4.51217898031496,4.5445047602362205,655.9136765000001,665.2119744500001,195.14573984694408,196.97723241787617,67472523264,198.72043731416528,217.0141833320631,0.6441218350495839,supported
swebench_verified,b1_long,1,128,6,"[""swebench_verified:astropy__astropy-13033""]",920,920,920,5,20,20,2560,81.35606849999999,83.2404596,4.439976,4.6511244000000005,4.4624045866141735,4.484570841732284,648.0100924999999,651.3734682500001,197.52607980788338,198.64945428627766,67472523264,197.2619332507685,213.0006453802122,0.6488834307889448,supported
swebench_verified,b1_long,1,128,7,"[""swebench_verified:astropy__astropy-14995""]",939,939,939,5,20,20,2560,82.258099,84.90592244999999,4.4377005,4.7108485,4.464543633858268,4.482739624409449,649.6239505,652.8265237999999,197.03522991822422,198.13443340108464,67472523264,197.011181784365,220.19264079971674,0.649709672986223,supported
