scenario,chips,tp,cp,ports,latency_s,attention_compute_s,ffn_compute_s,attention_memory_s,interconnect_ms
short,16,1,16,1,2.9084720873202454,0.7162415291950208,1.8053958277510374,1.1028755583186234,4.600917333333334
short,16,4,4,1,1.3537882548891107,0.3788074469211619,0.9662167738463069,0.3039601917601597,9.173418666666667
short,16,4,4,4,1.349030341289111,0.3788074469211619,0.9662167738463069,0.3039601917601597,4.093354666666667
long,16,1,16,1,3.6041077032497073,3.42716938,0.176543352,1.8405069541508987,11.487658666666666
long,16,2,8,1,1.8453975862114398,1.731153768,0.10422608184615385,1.107615891382397,14.94875591111111
long,16,2,8,2,1.8409236619447735,1.731153768,0.10422608184615385,1.107615891382397,8.354377955555556
long,16,2,8,4,1.8386866998114397,1.731153768,0.10422608184615385,1.107615891382397,5.057188977777777
long,16,4,4,1,1.9175284534230566,1.7607063826206897,0.12719874953846155,0.7764221053936203,31.061077333333337
long,16,4,4,4,1.8973957942230566,1.7607063826206897,0.12719874953846155,0.7764221053936203,9.565269333333333
