state_mode,model,C_to_D_total_cycles_saved,hbm_cycles_saved,issue_cycles_saved,ideal_matrix_service_cycles_saved,bank_stall_cycles_saved,arithmetic_cycles_saved,bank_stall_fraction_of_C_to_D_saved,C_cycles_if_only_bank_stalls_removed,bank_only_speedup_over_C,D_prime_fixed_phased_bank_service_cycles,D_prime_fixed_phased_bank_stall_cycles,D_vs_D_prime_pure_bank_speedup,interpretation
plena_bf16_matrix_streamed,nemotron3,196328,0,179124,11316,5888,0,0.02999062792877226,2204994,1.0026703020507086,1,0,1.0,"C is a constrained single-base executable descriptor, not the fair bank-only control. D' uses fixed diagonal wiring plus legal per-tile base phases and matches D at 1.00x bank service. C-to-D changes descriptor compactness, chunk issue, ideal service and KDA spill."
plena_bf16_matrix_streamed,kimi_k3,2108157,278277,1621224,208656,0,0,0.0,93286200,1.0,1,0,1.0,"C is a constrained single-base executable descriptor, not the fair bank-only control. D' uses fixed diagonal wiring plus legal per-tile base phases and matches D at 1.00x bank service. C-to-D changes descriptor compactness, chunk issue, ideal service and KDA spill."
