state_mode,model,case,phase,batch,tokens,weight_precision,weight_precision_policy,variant,cycles,latency_us_proxy,speedup_vs_A,speedup_vs_B,speedup_vs_C_fixed,speedup_vs_D_phased,bank_stall_cycles,matrix_sram_service_cycles,matrix_sram_ideal_cycles,recurrence_cycles,recurrence_coefficient_prep_cycles,recurrence_coefficient_prep_elementwise_ops,recurrence_coefficient_prep_exp_ops,recurrence_issue_cycles,recurrence_vector_arithmetic_cycles,vector_cycle_share,lcompute_cycle_share,physical_hbm_read_bytes,physical_hbm_write_bytes
plena_bf16_matrix_streamed,nemotron3,decode_b8_t1,decode,8,1,nvfp4,nemotron3_nano_30b_a3b_nvfp4_checkpoint_mixed_v1,B_arlo_static,15529095,15529.095,1.486840475893798,1.0,0.5274846344877149,0.4353963318532084,0,0,0,9441224,0,0,0,9441224,0,0.6094346772944592,0.0,8606072576,221639680
plena_bf16_matrix_streamed,nemotron3,decode_b8_t1,decode,8,1,nvfp4,nemotron3_nano_30b_a3b_nvfp4_checkpoint_mixed_v1,C_fixed_single_base_descriptor,8191359,8191.359,2.818737037407346,1.895789819491491,1.0,0.8254199333712513,47104,523296,476192,2103488,0,0,0,1342464,237728,0.0027767065269633526,0.25679353084146356,8606072576,221639680
plena_bf16_matrix_streamed,nemotron3,decode_b8_t1,decode,8,1,nvfp4,nemotron3_nano_30b_a3b_nvfp4_checkpoint_mixed_v1,D_compact_phased_mapping,6761311,6761.311,3.414912729202961,2.2967579808117096,1.2115045440152066,1.0,0,385664,385664,673440,0,0,0,50048,237728,0.0033639925748127843,0.09960198547293565,8606072576,221639680
plena_bf16_matrix_streamed,nemotron3,decode_b8_t1,decode,8,1,nvfp4,nemotron3_nano_30b_a3b_nvfp4_checkpoint_mixed_v1,E_phased_plus_static_overlap,6761311,6761.311,3.414912729202961,2.2967579808117096,1.2115045440152066,1.0,0,385664,385664,673440,0,0,0,50048,237728,0.0033639925748127843,0.09960198547293565,8606072576,221639680
plena_bf16_matrix_streamed,nemotron3,decode_b16_t1,decode,16,1,nvfp4,nemotron3_nano_30b_a3b_nvfp4_checkpoint_mixed_v1,A_original_fixed,44842090,44842.09,1.0,0.6628082232563202,0.3355381963686349,0.2717566910908925,0,0,0,34002832,0,0,0,34002832,0,0.7592873793349061,0.0,15127889664,443279360
plena_bf16_matrix_streamed,nemotron3,decode_b16_t1,decode,16,1,nvfp4,nemotron3_nano_30b_a3b_nvfp4_checkpoint_mixed_v1,B_arlo_static,29721706,29721.706,1.5087320357721055,1.0,0.506237226086551,0.41000802578425344,0,0,0,18882448,0,0,0,18882448,0,0.6368291577879144,0.0,15127889664,443279360
plena_bf16_matrix_streamed,nemotron3,decode_b16_t1,decode,16,1,nvfp4,nemotron3_nano_30b_a3b_nvfp4_checkpoint_mixed_v1,C_fixed_single_base_descriptor,15046234,15046.234,2.9802866285344227,1.9753584850534691,1.0,0.8099128326729466,94208,1046592,952384,4206976,0,0,0,2684928,475456,0.0030041404380657644,0.2796032548742762,15127889664,443279360
plena_bf16_matrix_streamed,nemotron3,decode_b16_t1,decode,16,1,nvfp4,nemotron3_nano_30b_a3b_nvfp4_checkpoint_mixed_v1,D_compact_phased_mapping,12186138,12186.138,3.6797622019379723,2.4389766470722716,1.2347007723037438,1.0,0,771328,771328,1346880,0,0,0,100096,475456,0.003709214518988707,0.11052558242816551,15127889664,443279360
plena_bf16_matrix_streamed,nemotron3,decode_b16_t1,decode,16,1,nvfp4,nemotron3_nano_30b_a3b_nvfp4_checkpoint_mixed_v1,E_phased_plus_static_overlap,12186138,12186.138,3.6797622019379723,2.4389766470722716,1.2347007723037438,1.0,0,771328,771328,1346880,0,0,0,100096,475456,0.003709214518988707,0.11052558242816551,15127889664,443279360
plena_bf16_matrix_streamed,nemotron3,decode_b32_t1,decode,32,1,nvfp4,nemotron3_nano_30b_a3b_nvfp4_checkpoint_mixed_v1,A_original_fixed,83051970,83051.97,1.0,0.6358813884848247,0.28247683950182034,0.21360198921229684,0,0,0,68005664,0,0,0,68005664,0,0.8199211409434358,0.0,19909859072,886558720
plena_bf16_matrix_streamed,nemotron3,decode_b32_t1,decode,32,1,nvfp4,nemotron3_nano_30b_a3b_nvfp4_checkpoint_mixed_v1,B_arlo_static,52811202,52811.202,1.5726203315728355,1.0,0.4442288209989994,0.3359148310996595,0,0,0,37764896,0,0,0,37764896,0,0.716804324961208,0.0,19909859072,886558720
plena_bf16_matrix_streamed,nemotron3,decode_b32_t1,decode,32,1,nvfp4,nemotron3_nano_30b_a3b_nvfp4_checkpoint_mixed_v1,C_fixed_single_base_descriptor,23460258,23460.258,3.5401132417213828,2.251092123539306,1.0,0.7561752304684799,188416,2093184,1904768,8413952,0,0,0,5369856,950912,0.003853410307763879,0.3586470361920146,19909859072,886558720
plena_bf16_matrix_streamed,nemotron3,decode_b32_t1,decode,32,1,nvfp4,nemotron3_nano_30b_a3b_nvfp4_checkpoint_mixed_v1,D_compact_phased_mapping,17740066,17740.066,4.68160434126908,2.9769450688627654,1.3224447981196914,1.0,0,1542656,1542656,2693760,0,0,0,200192,950912,0.005095922416523141,0.15184610925348305,19909859072,886558720
plena_bf16_matrix_streamed,nemotron3,decode_b32_t1,decode,32,1,nvfp4,nemotron3_nano_30b_a3b_nvfp4_checkpoint_mixed_v1,E_phased_plus_static_overlap,17740066,17740.066,4.68160434126908,2.9769450688627654,1.3224447981196914,1.0,0,1542656,1542656,2693760,0,0,0,200192,950912,0.005095922416523141,0.15184610925348305,19909859072,886558720
plena_bf16_matrix_streamed,nemotron3,decode_b64_t1,decode,64,1,nvfp4,nemotron3_nano_30b_a3b_nvfp4_checkpoint_mixed_v1,A_original_fixed,154175915,154175.915,1.0,0.6077108671610608,0.2269647045713982,0.15276125975967128,0,0,0,136011328,0,0,0,136011328,0,0.8833554320076518,0.0,21212133120,1773117440
plena_bf16_matrix_streamed,nemotron3,decode_b64_t1,decode,64,1,nvfp4,nemotron3_nano_30b_a3b_nvfp4_checkpoint_mixed_v1,B_arlo_static,93694379,93694.379,1.6455193646141781,1.0,0.3734748164561718,0.2513716110973957,0,0,0,75529792,0,0,0,75529792,0,0.8080591045915358,0.0,21212133120,1773117440
plena_bf16_matrix_streamed,nemotron3,decode_b64_t1,decode,64,1,nvfp4,nemotron3_nano_30b_a3b_nvfp4_checkpoint_mixed_v1,C_fixed_single_base_descriptor,34992491,34992.491,4.405971412552482,2.6775567078091127,1.0,0.6730617434466154,376832,4186368,3809536,16827904,0,0,0,10739712,1901824,0.005166937100876871,0.48090043089530266,21212133120,1773117440
plena_bf16_matrix_streamed,nemotron3,decode_b64_t1,decode,64,1,nvfp4,nemotron3_nano_30b_a3b_nvfp4_checkpoint_mixed_v1,D_compact_phased_mapping,23552107,23552.107,6.546162303016032,3.9781739697429193,1.4857477931804572,1.0,0,3085312,3085312,5387520,0,0,0,400384,1901824,0.007676765395130041,0.22874896076176965,21212133120,1773117440
plena_bf16_matrix_streamed,nemotron3,decode_b64_t1,decode,64,1,nvfp4,nemotron3_nano_30b_a3b_nvfp4_checkpoint_mixed_v1,E_phased_plus_static_overlap,23552107,23552.107,6.546162303016032,3.9781739697429193,1.4857477931804572,1.0,0,3085312,3085312,5387520,0,0,0,400384,1901824,0.007676765395130041,0.22874896076176965,21212133120,1773117440
plena_bf16_matrix_streamed,nemotron3,decode_b1_t4,decode,1,4,nvfp4,nemotron3_nano_30b_a3b_nvfp4_checkpoint_mixed_v1,A_original_fixed,16222642,16222.642,1.0,0.7669864131871985,0.5408291695027234,0.49675348811864306,0,0,0,8500708,0,0,0,8500708,0,0.5247568182790449,0.0,11597967360,110819840
plena_bf16_matrix_streamed,nemotron3,decode_b1_t4,decode,1,4,nvfp4,nemotron3_nano_30b_a3b_nvfp4_checkpoint_mixed_v1,B_arlo_static,12442546,12442.546,1.3038040606801855,1.0,0.7051352673319432,0.6476692149661332,0,0,0,4720612,0,0,0,4720612,0,0.38037600986164727,0.0,11597967360,110819840
plena_bf16_matrix_streamed,nemotron3,decode_b1_t4,decode,1,4,nvfp4,nemotron3_nano_30b_a3b_nvfp4_checkpoint_mixed_v1,C_fixed_single_base_descriptor,8773678,8773.678,1.8490126945620753,1.418167614539763,1.0,0.9185035055993621,23552,261648,238096,1051744,0,0,0,671232,118864,0.0013943981076123377,0.11987492588627027,11597967360,110819840
plena_bf16_matrix_streamed,nemotron3,decode_b1_t4,decode,1,4,nvfp4,nemotron3_nano_30b_a3b_nvfp4_checkpoint_mixed_v1,D_compact_phased_mapping,8058654,8058.654,2.0130709173020707,1.5439980423529784,1.0887274723545644,1.0,0,192832,192832,336720,0,0,0,25024,118864,0.0015181195271567684,0.04178365270428536,11597967360,110819840
plena_bf16_matrix_streamed,nemotron3,decode_b1_t4,decode,1,4,nvfp4,nemotron3_nano_30b_a3b_nvfp4_checkpoint_mixed_v1,E_phased_plus_static_overlap,8058654,8058.654,2.0130709173020707,1.5439980423529784,1.0887274723545644,1.0,0,192832,192832,336720,0,0,0,25024,118864,0.0015181195271567684,0.04178365270428536,11597967360,110819840
plena_bf16_matrix_streamed,nemotron3,decode_b1_t32,decode,1,32,nvfp4,nemotron3_nano_30b_a3b_nvfp4_checkpoint_mixed_v1,A_original_fixed,129783410,129783.41,1.0,0.7669904959347269,0.5408372148643652,0.49676230575233,0,0,0,68005664,0,0,0,68005664,0,0.5247490569095079,0.0,92786491392,886558720
plena_bf16_matrix_streamed,nemotron3,decode_b1_t32,decode,1,32,nvfp4,nemotron3_nano_30b_a3b_nvfp4_checkpoint_mixed_v1,B_arlo_static,99542642,99542.642,1.3037971204340748,1.0,0.7051420033637443,0.6476772637800793,0,0,0,37764896,0,0,0,37764896,0,0.380369188915038,0.0,92786491392,886558720
plena_bf16_matrix_streamed,nemotron3,decode_b1_t32,decode,1,32,nvfp4,nemotron3_nano_30b_a3b_nvfp4_checkpoint_mixed_v1,C_fixed_single_base_descriptor,70191698,70191.698,1.848985189103133,1.4181540671661768,1.0,0.9185061458407802,188416,2093184,1904768,8413952,0,0,0,5369856,950912,0.0013970028193362697,0.11987104229904796,92786491392,886558720
plena_bf16_matrix_streamed,nemotron3,decode_b1_t32,decode,1,32,nvfp4,nemotron3_nano_30b_a3b_nvfp4_checkpoint_mixed_v1,D_compact_phased_mapping,64471506,64471.506,2.013035184876866,1.5439788547827624,1.0887243428127769,1.0,0,1542656,1542656,2693760,0,0,0,200192,950912,0.0015209509763894765,0.041782178936536706,92786491392,886558720
plena_bf16_matrix_streamed,nemotron3,decode_b1_t32,decode,1,32,nvfp4,nemotron3_nano_30b_a3b_nvfp4_checkpoint_mixed_v1,E_phased_plus_static_overlap,64471506,64471.506,2.013035184876866,1.5439788547827624,1.0887243428127769,1.0,0,1542656,1542656,2693760,0,0,0,200192,950912,0.0015209509763894765,0.041782178936536706,92786491392,886558720
plena_bf16_matrix_streamed,nemotron3,decode_b1_t128,decode,1,128,nvfp4,nemotron3_nano_30b_a3b_nvfp4_checkpoint_mixed_v1,A_original_fixed,519164912,519164.912,1.0,0.7670045313077707,0.5408648726245198,0.496792618373254,0,0,0,272022656,0,0,0,272022656,0,0.5247222100402655,0.0,371183714304,3546234880
plena_bf16_matrix_streamed,nemotron3,decode_b1_t128,decode,1,128,nvfp4,nemotron3_nano_30b_a3b_nvfp4_checkpoint_mixed_v1,B_arlo_static,398201840,398201.84,1.3037732623234488,1.0,0.7051651594578268,0.6477049327547055,0,0,0,151059584,0,0,0,151059584,0,0.3803455252743182,0.0,371183714304,3546234880
plena_bf16_matrix_streamed,nemotron3,decode_b1_t128,decode,1,128,nvfp4,nemotron3_nano_30b_a3b_nvfp4_checkpoint_mixed_v1,C_fixed_single_base_descriptor,280798064,280798.064,1.8488906390750615,1.418107498063092,1.0,0.9185152216718987,753664,8372736,7619072,33655808,0,0,0,21479424,3803648,0.0014056507170220375,0.1198576924661418,371183714304,3546234880
plena_bf16_matrix_streamed,nemotron3,decode_b1_t128,decode,1,128,nvfp4,nemotron3_nano_30b_a3b_nvfp4_checkpoint_mixed_v1,D_compact_phased_mapping,257917296,257917.296,2.012912356215149,1.5439128983424206,1.0887135851486285,1.0,0,6170624,6170624,10775040,0,0,0,800768,3803648,0.0015303510315958027,0.04177711292382656,371183714304,3546234880
