component,case,warmup,measurements,median_ms,p95_ms,mean_ms,peak_memory_bytes
mla,decode_b1_s2048,20,100,0.7260159850120544,0.7408639788627625,0.7277046436071396,801617408
mla,decode_b8_s2048,20,100,3.6848479509353638,3.7118079662323,3.6841305565834044,3093615616
mla,prefill_s128,20,100,0.34174399077892303,0.3832640051841736,0.34885824054479597,509890560
mla,prefill_s2048,20,100,1.9286879897117615,1.935871958732605,1.9302569615840912,1040453632
moe,decode_b1_s2048,20,100,2.7501440048217773,3.0926079750061035,2.7921062541007995,1523505664
moe,decode_b8_s2048,20,100,2.7969279289245605,3.2344961166381836,2.825332157611847,1523831808
moe,prefill_s128,20,100,2.8351680040359497,2.9199039936065674,2.8214537620544435,1606469120
moe,prefill_s2048,20,100,7.469407796859741,7.500703811645508,7.471309757232666,3236963840
