B_cycles,E_cycles,E_stream_speedup_vs_B,F_bank_conflict_stalls,F_cycles,F_speedup_vs_B,G_affine_incremental_speedup_vs_E,G_cycles,G_speedup_vs_B,H_packet_bank_conflict_stalls,H_packet_row_cycles,I_affine_speedup_vs_H_packet_row,I_packet_affine_cycles,I_packet_bank_conflict_stalls,I_packet_ops,I_packet_speedup_vs_E_ordinary_row,J_packet_affine_overlap_cycles,J_packet_speedup_vs_B_arlo,eligible_for_freeze,hw_activation_bits,hw_bank_width,hw_banks,hw_blen,hw_clock_period_ps,hw_exp_latency,hw_explicit_state_resident_bytes,hw_fifo_values,hw_hbm_burst_bytes,hw_hbm_bytes_per_cycle,hw_kda_parallel_heads,hw_kda_recurrent_row_elements,hw_layout_slots,hw_mamba_parallel_heads,hw_mamba_recurrent_row_elements,hw_mlen,hw_read_ports_per_bank,hw_reduction_latency,hw_vector_add_latency,hw_vector_lanes,hw_vector_mul_latency,hw_write_ports_per_bank,local_projection_packet_speedup_upper_bound,local_state_packet_speedup_upper_bound,model,point
2857994376,2839927416,1.0063617682262622,0,2839927416,1.0063617682262622,1.0,2839927416,1.0063617682262622,298450944,3139544184,1.104965483877014,2841305208,0,13565952,0.9995150848292818,2841305208,1.0058737681376186,True,16,4,16,4,1000,2,0,64,64,512,1,64,4,1,64,64,2,8,1,64,1,1,1.4154720043278335,1.0,kimi_k3,parallel_1
80338488,78677520,1.0211110873855709,0,81692176,0.9834294045490966,1.0,78677520,1.0211110873855709,33161216,111991824,1.3679423921313336,81868816,0,1507328,0.9610193947351089,78854160,1.018823712027368,True,16,4,16,4,1000,2,0,64,64,512,2,64,4,2,64,64,2,8,1,64,1,1,2.4963468095470045,1.0,nemotron3,parallel_2
2857994376,2839927416,1.0063617682262622,0,2840351352,1.0062115639276727,1.0,2839927416,1.0063617682262622,298450944,3139544184,1.1048006424640449,2841729144,0,13565952,0.9993659747608937,2841305208,1.0058737681376186,True,16,4,16,4,1000,2,0,64,64,512,2,64,4,2,64,64,2,8,1,64,1,1,2.066173068024063,1.0,kimi_k3,parallel_2
80338488,78677520,1.0211110873855709,0,79431184,1.0114225163759363,1.0,78677520,1.0211110873855709,33161216,111991824,1.4067941864608684,79607824,0,1507328,0.9883139124616696,78854160,1.018823712027368,True,16,4,16,4,1000,2,0,64,64,512,4,64,4,4,64,64,2,8,1,64,1,1,4.46615087040619,1.0,nemotron3,parallel_4
2857994376,2839927416,1.0063617682262622,0,2840139384,1.006286660471872,1.0,2839927416,1.0063617682262622,298450944,3139544184,1.104883057022211,2841517176,0,13565952,0.999440524233523,2841305208,1.0058737681376186,True,16,4,16,4,1000,2,0,64,64,512,4,64,4,4,64,64,2,8,1,64,1,1,2.92964824120603,1.0,kimi_k3,parallel_4
80338488,78677520,1.0211110873855709,0,78865936,1.018671584649677,1.0,78677520,1.0211110873855709,33161216,111991824,1.4168544304527726,79042576,0,1507328,0.9953815270393009,78854160,1.018823712027368,True,16,4,16,4,1000,2,0,64,64,512,8,64,4,8,64,64,2,8,1,64,1,1,8.218045112781954,1.8,nemotron3,parallel_8
2857994376,2839927416,1.0063617682262622,0,2840033400,1.0063242129476364,1.0,2839927416,1.0063617682262622,298450944,3139544184,1.1049242689123608,2841411192,0,13565952,0.9994778031408557,2841305208,1.0058737681376186,True,16,4,16,4,1000,2,0,64,64,512,8,64,4,8,64,64,2,8,1,64,1,1,3.8543111992071357,1.8,kimi_k3,parallel_8
80338488,78677520,1.0211110873855709,0,78865936,1.018671584649677,1.0,78677520,1.0211110873855709,33161216,111991824,1.4168544304527726,79042576,0,1507328,0.9953815270393009,78854160,1.018823712027368,True,16,4,16,4,1000,2,0,64,64,512,16,64,4,16,64,64,2,8,1,64,1,1,8.218045112781954,3.0,nemotron3,parallel_16
2857994376,2839927416,1.0063617682262622,0,2839980408,1.0063429902365721,1.0,2839927416,1.0063617682262622,298450944,3139544184,1.104944876010353,2841358200,0,13565952,0.9994964436374125,2841305208,1.0058737681376186,True,16,4,16,4,1000,2,0,64,64,512,16,64,4,16,64,64,2,8,1,64,1,1,4.1544359255202625,3.0,kimi_k3,parallel_16
80338488,78677520,1.0211110873855709,0,78865936,1.018671584649677,0.997610933064942,78865936,1.018671584649677,33161216,111991824,1.4168544304527726,79042576,0,1507328,0.9953815270393009,79042576,1.0163951134386107,True,16,4,16,4,1000,2,0,0,64,512,4,64,4,8,64,64,2,8,1,64,1,1,8.218045112781954,1.8,nemotron3,fifo_0
