bank_conflict_stall_cycles,batch_size,cycles,experiment,fifo_stall_cycles,lane_restore_cycles,layout_service_cycles,logical_hbm_read_bytes,logical_hbm_write_bytes,model,packet_bandwidth_floor_cycles,packet_inverse_rotation_values,packet_ops,packet_read_packets,packet_service_cycles,packet_write_packets,phase,physical_hbm_read_bytes,physical_hbm_write_bytes,resource_busy_cycles,resource_queue_wait_cycles,speedup_vs_arlo_B,timeline_event_count,tokens,variant
0,1,10923486,decode_4,0,11776,11776,11698958336,211810816,nemotron3,0,0,0,0,0,0,decode,11698958336,211810816,"{""banked_output_sram"": 11776, ""hbm"": 7636802, ""matrix"": 203306, ""vector"": 3071878}","{""banked_output_sram"": 0, ""hbm"": 6511960, ""matrix"": 0, ""vector"": 0}",1.1509767120129966,4956,4,F_affine_plus_stream
0,1,10911710,decode_4,0,11776,11776,11698958336,211810816,nemotron3,0,0,0,0,0,0,decode,11698958336,211810816,"{""banked_output_sram"": 11776, ""hbm"": 7636802, ""matrix"": 203306, ""vector"": 3071878}","{""banked_output_sram"": 0, ""hbm"": 6511960, ""matrix"": 0, ""vector"": 0}",1.152218854789946,4956,4,G_affine_stream_overlap
2166784,1,11747806,decode_4,0,0,0,11698958336,211810816,nemotron3,117760,0,47104,70656,2284544,47104,decode,11698958336,211810816,"{""hbm"": 7636802, ""matrix"": 203306, ""vector"": 3907974}","{""hbm"": 6511960, ""matrix"": 0, ""vector"": 0}",1.0702149831211036,4864,4,H_packet_row_major
0,1,9616350,decode_4,0,11776,11776,11698958336,211810816,nemotron3,117760,96468992,47104,70656,117760,47104,decode,11698958336,211810816,"{""banked_output_sram"": 11776, ""hbm"": 7636802, ""matrix"": 203306, ""vector"": 1764742}","{""banked_output_sram"": 0, ""hbm"": 6511960, ""matrix"": 0, ""vector"": 0}",1.307427246304471,4956,4,I_packet_affine
0,1,9604574,decode_4,0,11776,11776,11698958336,211810816,nemotron3,117760,96468992,47104,70656,117760,47104,decode,11698958336,211810816,"{""banked_output_sram"": 11776, ""hbm"": 7636802, ""matrix"": 203306, ""vector"": 1764742}","{""banked_output_sram"": 0, ""hbm"": 6511960, ""matrix"": 0, ""vector"": 0}",1.309030259957391,4956,4,J_packet_affine_overlap
0,1,369043866,prefill_s16,0,0,0,524456506880,476200960,kimi_k3,0,0,0,0,0,0,prefill,524456506880,476200960,"{""hbm"": 336496552, ""matrix"": 25438216, ""vector"": 7109098}","{""hbm"": 32031192, ""matrix"": 0, ""vector"": 0}",1.0,4254,16,A_row_gather_static
0,1,369043866,prefill_s16,0,0,0,524456506880,476200960,kimi_k3,0,0,0,0,0,0,prefill,524456506880,476200960,"{""hbm"": 336496552, ""matrix"": 25438216, ""vector"": 7109098}","{""hbm"": 32031192, ""matrix"": 0, ""vector"": 0}",1.0,4254,16,B_arlo_stride_postincrement
0,1,369043866,prefill_s16,0,0,0,524456506880,476200960,kimi_k3,0,0,0,0,0,0,prefill,524456506880,476200960,"{""hbm"": 336496552, ""matrix"": 25438216, ""vector"": 7109098}","{""hbm"": 32031192, ""matrix"": 0, ""vector"": 0}",1.0,4254,16,C_consumer_major
0,1,369096858,prefill_s16,0,52992,52992,524456506880,476200960,kimi_k3,0,0,0,0,0,0,prefill,524456506880,476200960,"{""banked_output_sram"": 52992, ""hbm"": 336496552, ""matrix"": 25438216, ""vector"": 7109098}","{""banked_output_sram"": 0, ""hbm"": 32031192, ""matrix"": 0, ""vector"": 0}",0.99985642792982,4323,16,D_affine_layout
0,1,369043866,prefill_s16,0,0,0,524456506880,476200960,kimi_k3,0,0,0,0,0,0,prefill,524456506880,476200960,"{""hbm"": 336496552, ""matrix"": 25438216, ""vector"": 7109098}","{""hbm"": 32031192, ""matrix"": 0, ""vector"": 0}",1.0,4254,16,E_stream_addressing
