sequence_length,mlen,chip_count,local_sequence_length,k_blocks,projection_tiles,policy,duplicate_physical_policy,matrix_sram_tiles,logical_matrix_sram_mb,resident_prefix_blocks,streaming_blocks,requested_residency_fraction,realized_residency_fraction,kv_tile_load_count,streaming_kv_tile_load_count,kv_tile_load_ratio_vs_streaming,kv_tile_load_reduction_pct,kv_cache_hits,peak_live_tiles,tile_utilization,q_tail_rows,tail_isa_limitation
4096,1024,4,1024,1,25,kv-25,True,25,39.3216,1,0,0.25,1.0,2,2,1.0,0.0,2,2,0.08,0,
4096,1024,4,1024,1,25,kv-50,True,25,39.3216,1,0,0.5,1.0,2,2,1.0,0.0,2,2,0.08,0,
4096,1024,4,1024,1,25,kv-75,True,25,39.3216,1,0,0.75,1.0,2,2,1.0,0.0,2,2,0.08,0,
4096,1024,4,1024,1,25,kv-100,True,25,39.3216,1,0,1.0,1.0,2,2,1.0,0.0,2,2,0.08,0,
4096,1024,8,512,1,25,streaming,False,2,3.145728,0,1,0.0,0.0,2,2,1.0,0.0,0,2,1.0,512,active_row_bmm_unavailable
4096,1024,8,512,1,25,projection-full,False,25,39.3216,1,0,1.0,1.0,2,2,1.0,0.0,2,2,0.08,512,active_row_bmm_unavailable
4096,1024,8,512,1,25,kv-25,True,25,39.3216,1,0,0.25,1.0,2,2,1.0,0.0,2,2,0.08,512,active_row_bmm_unavailable
4096,1024,8,512,1,25,kv-50,True,25,39.3216,1,0,0.5,1.0,2,2,1.0,0.0,2,2,0.08,512,active_row_bmm_unavailable
4096,1024,8,512,1,25,kv-75,True,25,39.3216,1,0,0.75,1.0,2,2,1.0,0.0,2,2,0.08,512,active_row_bmm_unavailable
4096,1024,8,512,1,25,kv-100,True,25,39.3216,1,0,1.0,1.0,2,2,1.0,0.0,2,2,0.08,512,active_row_bmm_unavailable
4096,2048,1,4096,2,13,streaming,False,2,12.582912,0,2,0.0,0.0,6,6,1.0,0.0,0,2,1.0,0,
4096,2048,1,4096,2,13,projection-full,False,13,81.788928,2,0,1.0,1.0,4,6,0.6666666666666666,33.333333333333336,6,4,0.3076923076923077,0,
4096,2048,1,4096,2,13,kv-25,True,13,81.788928,2,0,0.25,1.0,4,6,0.6666666666666666,33.333333333333336,6,4,0.3076923076923077,0,
4096,2048,1,4096,2,13,kv-50,True,13,81.788928,2,0,0.5,1.0,4,6,0.6666666666666666,33.333333333333336,6,4,0.3076923076923077,0,
4096,2048,1,4096,2,13,kv-75,True,13,81.788928,2,0,0.75,1.0,4,6,0.6666666666666666,33.333333333333336,6,4,0.3076923076923077,0,
4096,2048,1,4096,2,13,kv-100,True,13,81.788928,2,0,1.0,1.0,4,6,0.6666666666666666,33.333333333333336,6,4,0.3076923076923077,0,
4096,2048,2,2048,1,13,streaming,False,2,12.582912,0,1,0.0,0.0,2,2,1.0,0.0,0,2,1.0,0,
4096,2048,2,2048,1,13,projection-full,False,13,81.788928,1,0,1.0,1.0,2,2,1.0,0.0,2,2,0.15384615384615385,0,
4096,2048,2,2048,1,13,kv-25,True,13,81.788928,1,0,0.25,1.0,2,2,1.0,0.0,2,2,0.15384615384615385,0,
4096,2048,2,2048,1,13,kv-50,True,13,81.788928,1,0,0.5,1.0,2,2,1.0,0.0,2,2,0.15384615384615385,0,
4096,2048,2,2048,1,13,kv-75,True,13,81.788928,1,0,0.75,1.0,2,2,1.0,0.0,2,2,0.15384615384615385,0,
4096,2048,2,2048,1,13,kv-100,True,13,81.788928,1,0,1.0,1.0,2,2,1.0,0.0,2,2,0.15384615384615385,0,
4096,2048,4,1024,1,13,streaming,False,2,12.582912,0,1,0.0,0.0,2,2,1.0,0.0,0,2,1.0,1024,active_row_bmm_unavailable
4096,2048,4,1024,1,13,projection-full,False,13,81.788928,1,0,1.0,1.0,2,2,1.0,0.0,2,2,0.15384615384615385,1024,active_row_bmm_unavailable
4096,2048,4,1024,1,13,kv-25,True,13,81.788928,1,0,0.25,1.0,2,2,1.0,0.0,2,2,0.15384615384615385,1024,active_row_bmm_unavailable
4096,2048,4,1024,1,13,kv-50,True,13,81.788928,1,0,0.5,1.0,2,2,1.0,0.0,2,2,0.15384615384615385,1024,active_row_bmm_unavailable
4096,2048,4,1024,1,13,kv-75,True,13,81.788928,1,0,0.75,1.0,2,2,1.0,0.0,2,2,0.15384615384615385,1024,active_row_bmm_unavailable
4096,2048,4,1024,1,13,kv-100,True,13,81.788928,1,0,1.0,1.0,2,2,1.0,0.0,2,2,0.15384615384615385,1024,active_row_bmm_unavailable
4096,2048,8,512,1,13,streaming,False,2,12.582912,0,1,0.0,0.0,2,2,1.0,0.0,0,2,1.0,512,active_row_bmm_unavailable
4096,2048,8,512,1,13,projection-full,False,13,81.788928,1,0,1.0,1.0,2,2,1.0,0.0,2,2,0.15384615384615385,512,active_row_bmm_unavailable
4096,2048,8,512,1,13,kv-25,True,13,81.788928,1,0,0.25,1.0,2,2,1.0,0.0,2,2,0.15384615384615385,512,active_row_bmm_unavailable
4096,2048,8,512,1,13,kv-50,True,13,81.788928,1,0,0.5,1.0,2,2,1.0,0.0,2,2,0.15384615384615385,512,active_row_bmm_unavailable
4096,2048,8,512,1,13,kv-75,True,13,81.788928,1,0,0.75,1.0,2,2,1.0,0.0,2,2,0.15384615384615385,512,active_row_bmm_unavailable
4096,2048,8,512,1,13,kv-100,True,13,81.788928,1,0,1.0,1.0,2,2,1.0,0.0,2,2,0.15384615384615385,512,active_row_bmm_unavailable
4097,512,1,4097,9,50,streaming,False,2,0.786432,0,9,0.0,0.0,90,90,1.0,0.0,0,2,1.0,1,active_row_bmm_unavailable
4097,512,1,4097,9,50,projection-full,False,50,19.6608,9,0,1.0,1.0,18,90,0.2,80.0,90,18,0.36,1,active_row_bmm_unavailable
4097,512,1,4097,9,50,kv-25,True,50,19.6608,9,0,0.25,1.0,18,90,0.2,80.0,90,18,0.36,1,active_row_bmm_unavailable
4097,512,1,4097,9,50,kv-50,True,50,19.6608,9,0,0.5,1.0,18,90,0.2,80.0,90,18,0.36,1,active_row_bmm_unavailable
4097,512,1,4097,9,50,kv-75,True,50,19.6608,9,0,0.75,1.0,18,90,0.2,80.0,90,18,0.36,1,active_row_bmm_unavailable
4097,512,1,4097,9,50,kv-100,True,50,19.6608,9,0,1.0,1.0,18,90,0.2,80.0,90,18,0.36,1,active_row_bmm_unavailable
4097,512,2,2049,5,50,streaming,False,2,0.786432,0,5,0.0,0.0,30,30,1.0,0.0,0,2,1.0,1,active_row_bmm_unavailable
4097,512,2,2049,5,50,projection-full,False,50,19.6608,5,0,1.0,1.0,10,30,0.3333333333333333,66.66666666666667,30,10,0.2,1,active_row_bmm_unavailable
4097,512,2,2049,5,50,kv-25,True,50,19.6608,5,0,0.25,1.0,10,30,0.3333333333333333,66.66666666666667,30,10,0.2,1,active_row_bmm_unavailable
4097,512,2,2049,5,50,kv-50,True,50,19.6608,5,0,0.5,1.0,10,30,0.3333333333333333,66.66666666666667,30,10,0.2,1,active_row_bmm_unavailable
4097,512,2,2049,5,50,kv-75,True,50,19.6608,5,0,0.75,1.0,10,30,0.3333333333333333,66.66666666666667,30,10,0.2,1,active_row_bmm_unavailable
4097,512,2,2049,5,50,kv-100,True,50,19.6608,5,0,1.0,1.0,10,30,0.3333333333333333,66.66666666666667,30,10,0.2,1,active_row_bmm_unavailable
4097,512,4,1025,3,50,streaming,False,2,0.786432,0,3,0.0,0.0,12,12,1.0,0.0,0,2,1.0,1,active_row_bmm_unavailable
4097,512,4,1025,3,50,projection-full,False,50,19.6608,3,0,1.0,1.0,6,12,0.5,50.0,12,6,0.12,1,active_row_bmm_unavailable
4097,512,4,1025,3,50,kv-25,True,50,19.6608,3,0,0.25,1.0,6,12,0.5,50.0,12,6,0.12,1,active_row_bmm_unavailable
4097,512,4,1025,3,50,kv-50,True,50,19.6608,3,0,0.5,1.0,6,12,0.5,50.0,12,6,0.12,1,active_row_bmm_unavailable
4097,512,4,1025,3,50,kv-75,True,50,19.6608,3,0,0.75,1.0,6,12,0.5,50.0,12,6,0.12,1,active_row_bmm_unavailable
4097,512,4,1025,3,50,kv-100,True,50,19.6608,3,0,1.0,1.0,6,12,0.5,50.0,12,6,0.12,1,active_row_bmm_unavailable
4097,512,8,513,2,50,streaming,False,2,0.786432,0,2,0.0,0.0,6,6,1.0,0.0,0,2,1.0,1,active_row_bmm_unavailable
4097,512,8,513,2,50,projection-full,False,50,19.6608,2,0,1.0,1.0,4,6,0.6666666666666666,33.333333333333336,6,4,0.08,1,active_row_bmm_unavailable
4097,512,8,513,2,50,kv-25,True,50,19.6608,2,0,0.25,1.0,4,6,0.6666666666666666,33.333333333333336,6,4,0.08,1,active_row_bmm_unavailable
4097,512,8,513,2,50,kv-50,True,50,19.6608,2,0,0.5,1.0,4,6,0.6666666666666666,33.333333333333336,6,4,0.08,1,active_row_bmm_unavailable
4097,512,8,513,2,50,kv-75,True,50,19.6608,2,0,0.75,1.0,4,6,0.6666666666666666,33.333333333333336,6,4,0.08,1,active_row_bmm_unavailable
4097,512,8,513,2,50,kv-100,True,50,19.6608,2,0,1.0,1.0,4,6,0.6666666666666666,33.333333333333336,6,4,0.08,1,active_row_bmm_unavailable
4097,1024,1,4097,5,25,streaming,False,2,3.145728,0,5,0.0,0.0,30,30,1.0,0.0,0,2,1.0,1,active_row_bmm_unavailable
4097,1024,1,4097,5,25,projection-full,False,25,39.3216,5,0,1.0,1.0,10,30,0.3333333333333333,66.66666666666667,30,10,0.4,1,active_row_bmm_unavailable
4097,1024,1,4097,5,25,kv-25,True,25,39.3216,5,0,0.25,1.0,10,30,0.3333333333333333,66.66666666666667,30,10,0.4,1,active_row_bmm_unavailable
4097,1024,1,4097,5,25,kv-50,True,25,39.3216,5,0,0.5,1.0,10,30,0.3333333333333333,66.66666666666667,30,10,0.4,1,active_row_bmm_unavailable
4097,1024,1,4097,5,25,kv-75,True,25,39.3216,5,0,0.75,1.0,10,30,0.3333333333333333,66.66666666666667,30,10,0.4,1,active_row_bmm_unavailable
4097,1024,1,4097,5,25,kv-100,True,25,39.3216,5,0,1.0,1.0,10,30,0.3333333333333333,66.66666666666667,30,10,0.4,1,active_row_bmm_unavailable
4097,1024,2,2049,3,25,streaming,False,2,3.145728,0,3,0.0,0.0,12,12,1.0,0.0,0,2,1.0,1,active_row_bmm_unavailable
4097,1024,2,2049,3,25,projection-full,False,25,39.3216,3,0,1.0,1.0,6,12,0.5,50.0,12,6,0.24,1,active_row_bmm_unavailable
4097,1024,2,2049,3,25,kv-25,True,25,39.3216,3,0,0.25,1.0,6,12,0.5,50.0,12,6,0.24,1,active_row_bmm_unavailable
4097,1024,2,2049,3,25,kv-50,True,25,39.3216,3,0,0.5,1.0,6,12,0.5,50.0,12,6,0.24,1,active_row_bmm_unavailable
4097,1024,2,2049,3,25,kv-75,True,25,39.3216,3,0,0.75,1.0,6,12,0.5,50.0,12,6,0.24,1,active_row_bmm_unavailable
4097,1024,2,2049,3,25,kv-100,True,25,39.3216,3,0,1.0,1.0,6,12,0.5,50.0,12,6,0.24,1,active_row_bmm_unavailable
4097,1024,4,1025,2,25,streaming,False,2,3.145728,0,2,0.0,0.0,6,6,1.0,0.0,0,2,1.0,1,active_row_bmm_unavailable
4097,1024,4,1025,2,25,projection-full,False,25,39.3216,2,0,1.0,1.0,4,6,0.6666666666666666,33.333333333333336,6,4,0.16,1,active_row_bmm_unavailable
4097,1024,4,1025,2,25,kv-25,True,25,39.3216,2,0,0.25,1.0,4,6,0.6666666666666666,33.333333333333336,6,4,0.16,1,active_row_bmm_unavailable
4097,1024,4,1025,2,25,kv-50,True,25,39.3216,2,0,0.5,1.0,4,6,0.6666666666666666,33.333333333333336,6,4,0.16,1,active_row_bmm_unavailable
4097,1024,4,1025,2,25,kv-75,True,25,39.3216,2,0,0.75,1.0,4,6,0.6666666666666666,33.333333333333336,6,4,0.16,1,active_row_bmm_unavailable
4097,1024,4,1025,2,25,kv-100,True,25,39.3216,2,0,1.0,1.0,4,6,0.6666666666666666,33.333333333333336,6,4,0.16,1,active_row_bmm_unavailable
4097,1024,8,513,1,25,streaming,False,2,3.145728,0,1,0.0,0.0,2,2,1.0,0.0,0,2,1.0,513,active_row_bmm_unavailable
4097,1024,8,513,1,25,projection-full,False,25,39.3216,1,0,1.0,1.0,2,2,1.0,0.0,2,2,0.08,513,active_row_bmm_unavailable
4097,1024,8,513,1,25,kv-25,True,25,39.3216,1,0,0.25,1.0,2,2,1.0,0.0,2,2,0.08,513,active_row_bmm_unavailable
4097,1024,8,513,1,25,kv-50,True,25,39.3216,1,0,0.5,1.0,2,2,1.0,0.0,2,2,0.08,513,active_row_bmm_unavailable
4097,1024,8,513,1,25,kv-75,True,25,39.3216,1,0,0.75,1.0,2,2,1.0,0.0,2,2,0.08,513,active_row_bmm_unavailable
4097,1024,8,513,1,25,kv-100,True,25,39.3216,1,0,1.0,1.0,2,2,1.0,0.0,2,2,0.08,513,active_row_bmm_unavailable
