case,stage,kernel_name,calls,duration_ns,dram_read_bytes,dram_write_bytes,l2_read_sectors,l2_write_sectors,sm_throughput_pct,memory_throughput_pct,achieved_occupancy_pct,theoretical_occupancy_pct,grid,block,registers_per_thread,result_dir
decode_b8,decay_beta,nvjet_sm100_tst_32x64_64x16_4x1_v_bz_splitK_TNN,2,22910,3480000,0,227266,2068,3.185124,2.412986,9.999153,12.5,"(20, 1, 1);(24, 1, 1)","(256, 1, 1)",255,/home/mcl123/plena-profiles/ncu/kda_full_stage/20260818T104122Z_gpu3_decode_b8_decay_beta
decode_b8,decay_beta,"void cublasLt::splitKreduce_kernel<32, 16, int, float, __nv_bfloat16, float, __nv_bfloat16, 0, float, __nv_bfloat16, __nv_bfloat16, 1, 0, 0, 0>(cublasLt::cublasSplitKParams<T6>, const T4 *, const T10 *, T9 *, T5 *, const T6 *, const T6 *, const T11 *, const T4 *, T11 *, void *, long, T6 *, int *, T6 *, T6 *, const T6 *, const T6 *, const T6 *, const T6 *, const T6 *)",2,17020,72450,0,11436,760,0.122562,1.761469,15.015276,100,"(3, 1, 1);(4, 1, 1)","(32, 16, 1)",32,/home/mcl123/plena-profiles/ncu/kda_full_stage/20260818T104122Z_gpu3_decode_b8_decay_beta
decode_b8,decay_beta,nvjet_sm100_tst_128x8_64x12_4x1_v_bz_TNT,1,8670,3160000,0,153941,9373,2.11,5.51,9.86,12.5,"(96, 1, 1)","(256, 1, 1)",255,/home/mcl123/plena-profiles/ncu/kda_full_stage/20260818T104122Z_gpu3_decode_b8_decay_beta
decode_b8,decay_beta,"void at::unrolled_elementwise_kernel<at::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float) (instance 1)], std::array<char *, 2>, 4, TrivialOffsetCalculator<1, unsigned int>, TrivialOffsetCalculator<1, unsigned int>, at::LoadWithCast<1>, at::StoreWithCast<1>>(int, T1, T2, T4, T5, T6, T7)",1,10050,33540,0,9516,341,0.02,1.48,5.96,100,"(2, 1, 1)","(128, 1, 1)",30,/home/mcl123/plena-profiles/ncu/kda_full_stage/20260818T104122Z_gpu3_decode_b8_decay_beta
decode_b8,kda_state_update_output,"void at::vectorized_elementwise_kernel<8, at::FillFunctor<c10::BFloat16>, std::array<char *, 1>>(int, T2, T3)",1,4960,4100,0,1356,9300,0.35,3.02,6.33,100,"(96, 1, 1)","(128, 1, 1)",16,/home/mcl123/plena-profiles/ncu/kda_full_stage/20260818T104147Z_gpu3_decode_b8_kda_state_update_output
decode_b8,kda_state_update_output,fused_recurrent_kda_fwd_kernel,1,43010,51190000,8710000,2512781,2369490,35.97,42.38,22.73,25,"(3072, 1, 1)","(128, 1, 1)",114,/home/mcl123/plena-profiles/ncu/kda_full_stage/20260818T104147Z_gpu3_decode_b8_kda_state_update_output
decode_b8,gate_rmsnorm,nvjet_sm100_tst_64x8_64x16_2x1_v_bz_splitK_TNT,1,41500,176300000,4580000,8637925,56397,38.95,65.38,10.12,12.5,"(576, 1, 1)","(256, 1, 1)",255,/home/mcl123/plena-profiles/ncu/kda_full_stage/20260818T104203Z_gpu3_decode_b8_gate_rmsnorm
decode_b8,gate_rmsnorm,"void cublasLt::splitKreduce_kernel<32, 16, int, float, __nv_bfloat16, float, __nv_bfloat16, 0, float, __nv_bfloat16, __nv_bfloat16, 1, 0, 0, 0>(cublasLt::cublasSplitKParams<T6>, const T4 *, const T10 *, T9 *, T5 *, const T6 *, const T6 *, const T11 *, const T4 *, T11 *, void *, long, T6 *, int *, T6 *, T6 *, const T6 *, const T6 *, const T6 *, const T6 *, const T6 *)",1,8480,1200000,0,60493,9628,11.28,2.67,38.76,100,"(384, 1, 1)","(32, 16, 1)",32,/home/mcl123/plena-profiles/ncu/kda_full_stage/20260818T104203Z_gpu3_decode_b8_gate_rmsnorm
decode_b8,gate_rmsnorm,layer_norm_gated_fwd_kernel,1,7070,398340,0,20418,9400,2.13,2.11,24.71,100,"(48, 1, 1)","(512, 1, 1)",24,/home/mcl123/plena-profiles/ncu/kda_full_stage/20260818T104203Z_gpu3_decode_b8_gate_rmsnorm
decode_b8,out_projection,nvjet_sm100_tst_64x8_64x16_2x1_v_bz_splitK_TNT,1,41440,176380000,5280000,8648967,97911,39.33,65.9,10.29,12.5,"(1008, 1, 1)","(256, 1, 1)",255,/home/mcl123/plena-profiles/ncu/kda_full_stage/20260818T104221Z_gpu3_decode_b8_out_projection
decode_b8,out_projection,"void cublasLt::splitKreduce_kernel<32, 16, int, float, __nv_bfloat16, float, __nv_bfloat16, 0, float, __nv_bfloat16, __nv_bfloat16, 1, 0, 0, 0>(cublasLt::cublasSplitKParams<T6>, const T4 *, const T10 *, T9 *, T5 *, const T6 *, const T6 *, const T11 *, const T4 *, T11 *, void *, long, T6 *, int *, T6 *, T6 *, const T6 *, const T6 *, const T6 *, const T6 *, const T6 *)",1,9410,2080000,0,99675,5396,6.82,3.33,23.11,100,"(224, 1, 1)","(32, 16, 1)",32,/home/mcl123/plena-profiles/ncu/kda_full_stage/20260818T104221Z_gpu3_decode_b8_out_projection
